Iniciando gerador uRLLC (Scapy/TCP) para 10.0.99.1:5000
Latência uRLLC (RTT local): 0.727 ms
Latência uRLLC (RTT local): 0.736 ms
Latência uRLLC (RTT local): 0.781 ms
Latência uRLLC (RTT local): 0.576 ms
Latência uRLLC (RTT local): 0.460 ms
Latência uRLLC (RTT local): 0.583 ms
Latência uRLLC (RTT local): 0.587 ms
Latência uRLLC (RTT local): 0.752 ms
Latência uRLLC (RTT local): 0.497 ms
Latência uRLLC (RTT local): 0.551 ms
Latência uRLLC (RTT local): 0.643 ms
Latência uRLLC (RTT local): 0.896 ms
Latência uRLLC (RTT local): 0.560 ms
Latência uRLLC (RTT local): 0.512 ms
Latência uRLLC (RTT local): 0.549 ms
Latência uRLLC (RTT local): 0.682 ms
Latência uRLLC (RTT local): 0.627 ms
Latência uRLLC (RTT local): 0.580 ms
Latência uRLLC (RTT local): 0.734 ms
Latência uRLLC (RTT local): 0.637 ms
Latência uRLLC (RTT local): 0.585 ms
Latência uRLLC (RTT local): 0.564 ms
Latência uRLLC (RTT local): 0.636 ms
Latência uRLLC (RTT local): 0.542 ms
Latência uRLLC (RTT local): 0.625 ms
Latência uRLLC (RTT local): 0.820 ms
Latência uRLLC (RTT local): 1.463 ms
Latência uRLLC (RTT local): 0.720 ms
Latência uRLLC (RTT local): 0.497 ms
Latência uRLLC (RTT local): 0.609 ms
Latência uRLLC (RTT local): 0.688 ms
Latência uRLLC (RTT local): 0.644 ms
Latência uRLLC (RTT local): 0.557 ms
Latência uRLLC (RTT local): 0.592 ms
Latência uRLLC (RTT local): 1.545 ms
Latência uRLLC (RTT local): 0.896 ms
Latência uRLLC (RTT local): 0.746 ms
Latência uRLLC (RTT local): 0.716 ms
Latência uRLLC (RTT local): 0.970 ms
Latência uRLLC (RTT local): 0.495 ms
Latência uRLLC (RTT local): 0.546 ms
Latência uRLLC (RTT local): 1.548 ms
Latência uRLLC (RTT local): 0.621 ms
Latência uRLLC (RTT local): 0.773 ms
Latência uRLLC (RTT local): 0.555 ms
Latência uRLLC (RTT local): 0.718 ms
Latência uRLLC (RTT local): 0.587 ms
Latência uRLLC (RTT local): 1.117 ms
Latência uRLLC (RTT local): 0.813 ms
Latência uRLLC (RTT local): 1.364 ms
Latência uRLLC (RTT local): 0.610 ms
Latência uRLLC (RTT local): 0.729 ms
Latência uRLLC (RTT local): 0.791 ms
Latência uRLLC (RTT local): 0.673 ms
Latência uRLLC (RTT local): 0.891 ms
Latência uRLLC (RTT local): 0.648 ms
Latência uRLLC (RTT local): 0.897 ms
Latência uRLLC (RTT local): 0.801 ms
Latência uRLLC (RTT local): 1.129 ms
Latência uRLLC (RTT local): 1.167 ms
Latência uRLLC (RTT local): 0.612 ms
Latência uRLLC (RTT local): 0.992 ms
Latência uRLLC (RTT local): 0.767 ms
Latência uRLLC (RTT local): 0.937 ms
Latência uRLLC (RTT local): 1.031 ms
Latência uRLLC (RTT local): 0.687 ms
Latência uRLLC (RTT local): 0.823 ms
Latência uRLLC (RTT local): 1.032 ms
Latência uRLLC (RTT local): 0.749 ms
Latência uRLLC (RTT local): 1.204 ms
Latência uRLLC (RTT local): 1.107 ms
Latência uRLLC (RTT local): 0.751 ms
Latência uRLLC (RTT local): 0.777 ms
Latência uRLLC (RTT local): 0.581 ms
Latência uRLLC (RTT local): 0.588 ms
Latência uRLLC (RTT local): 0.652 ms
Latência uRLLC (RTT local): 1.103 ms
Latência uRLLC (RTT local): 1.398 ms
Latência uRLLC (RTT local): 0.933 ms
Latência uRLLC (RTT local): 0.810 ms
Latência uRLLC (RTT local): 4.701 ms
Latência uRLLC (RTT local): 2.387 ms
Latência uRLLC (RTT local): 0.738 ms
Latência uRLLC (RTT local): 1.081 ms
Latência uRLLC (RTT local): 0.891 ms
Latência uRLLC (RTT local): 0.649 ms
Latência uRLLC (RTT local): 0.684 ms
Latência uRLLC (RTT local): 0.641 ms
Latência uRLLC (RTT local): 0.660 ms
Latência uRLLC (RTT local): 0.701 ms
Latência uRLLC (RTT local): 0.619 ms
Latência uRLLC (RTT local): 0.592 ms
Latência uRLLC (RTT local): 0.700 ms
Latência uRLLC (RTT local): 1.742 ms
Latência uRLLC (RTT local): 1.589 ms
Latência uRLLC (RTT local): 2.716 ms
Latência uRLLC (RTT local): 1.037 ms
Latência uRLLC (RTT local): 1.786 ms
Latência uRLLC (RTT local): 1.346 ms
Latência uRLLC (RTT local): 0.767 ms
Latência uRLLC (RTT local): 1.046 ms
Latência uRLLC (RTT local): 1.576 ms
Latência uRLLC (RTT local): 6.929 ms
Latência uRLLC (RTT local): 0.850 ms
Latência uRLLC (RTT local): 0.703 ms
Latência uRLLC (RTT local): 0.748 ms
Latência uRLLC (RTT local): 0.800 ms
Latência uRLLC (RTT local): 0.649 ms
Latência uRLLC (RTT local): 0.675 ms
Latência uRLLC (RTT local): 0.685 ms
Latência uRLLC (RTT local): 0.596 ms
Latência uRLLC (RTT local): 0.632 ms
Latência uRLLC (RTT local): 0.602 ms
Latência uRLLC (RTT local): 0.695 ms
Latência uRLLC (RTT local): 0.713 ms
Latência uRLLC (RTT local): 0.758 ms
Latência uRLLC (RTT local): 0.692 ms
Latência uRLLC (RTT local): 0.713 ms
Latência uRLLC (RTT local): 0.684 ms
Latência uRLLC (RTT local): 0.620 ms
Latência uRLLC (RTT local): 0.627 ms
Latência uRLLC (RTT local): 0.807 ms
Latência uRLLC (RTT local): 0.646 ms
Latência uRLLC (RTT local): 0.648 ms
Latência uRLLC (RTT local): 0.679 ms
Latência uRLLC (RTT local): 0.652 ms
Latência uRLLC (RTT local): 0.646 ms
Latência uRLLC (RTT local): 0.628 ms
Latência uRLLC (RTT local): 0.732 ms
Latência uRLLC (RTT local): 0.644 ms
Latência uRLLC (RTT local): 0.774 ms
Latência uRLLC (RTT local): 0.830 ms
Latência uRLLC (RTT local): 0.993 ms
Latência uRLLC (RTT local): 0.681 ms
Latência uRLLC (RTT local): 0.634 ms
Latência uRLLC (RTT local): 0.849 ms
Latência uRLLC (RTT local): 0.659 ms
Latência uRLLC (RTT local): 1.620 ms
Latência uRLLC (RTT local): 0.697 ms
Latência uRLLC (RTT local): 0.749 ms
Latência uRLLC (RTT local): 1.340 ms
Latência uRLLC (RTT local): 0.706 ms
Latência uRLLC (RTT local): 0.755 ms
Latência uRLLC (RTT local): 0.909 ms
Latência uRLLC (RTT local): 0.863 ms
Latência uRLLC (RTT local): 0.659 ms
Latência uRLLC (RTT local): 0.651 ms
Latência uRLLC (RTT local): 0.669 ms
Latência uRLLC (RTT local): 0.629 ms
Latência uRLLC (RTT local): 0.684 ms
Latência uRLLC (RTT local): 2.612 ms
Latência uRLLC (RTT local): 0.692 ms
Latência uRLLC (RTT local): 0.823 ms
Latência uRLLC (RTT local): 0.954 ms
Latência uRLLC (RTT local): 0.926 ms
Latência uRLLC (RTT local): 1.118 ms
Latência uRLLC (RTT local): 0.648 ms
Latência uRLLC (RTT local): 1.024 ms
Latência uRLLC (RTT local): 1.820 ms
Latência uRLLC (RTT local): 0.866 ms
Latência uRLLC (RTT local): 0.900 ms
Latência uRLLC (RTT local): 1.496 ms
Latência uRLLC (RTT local): 1.549 ms
Latência uRLLC (RTT local): 0.942 ms
Latência uRLLC (RTT local): 0.645 ms
Latência uRLLC (RTT local): 0.661 ms
Latência uRLLC (RTT local): 0.670 ms
Latência uRLLC (RTT local): 0.742 ms
Latência uRLLC (RTT local): 0.721 ms
Latência uRLLC (RTT local): 0.733 ms
Latência uRLLC (RTT local): 0.982 ms
Latência uRLLC (RTT local): 0.654 ms
Latência uRLLC (RTT local): 0.666 ms
Latência uRLLC (RTT local): 1.091 ms
Latência uRLLC (RTT local): 0.658 ms
Latência uRLLC (RTT local): 0.897 ms
Latência uRLLC (RTT local): 0.700 ms
Latência uRLLC (RTT local): 7.740 ms
Latência uRLLC (RTT local): 0.999 ms
Latência uRLLC (RTT local): 1.309 ms
Latência uRLLC (RTT local): 0.900 ms
Latência uRLLC (RTT local): 1.289 ms
Latência uRLLC (RTT local): 1.714 ms
Latência uRLLC (RTT local): 1.545 ms
Latência uRLLC (RTT local): 1.748 ms
Latência uRLLC (RTT local): 2.571 ms
Latência uRLLC (RTT local): 1.826 ms
Latência uRLLC (RTT local): 1.369 ms
Latência uRLLC (RTT local): 1.711 ms
Latência uRLLC (RTT local): 1.451 ms
Latência uRLLC (RTT local): 1.631 ms
Latência uRLLC (RTT local): 3.214 ms
Latência uRLLC (RTT local): 2.071 ms
Latência uRLLC (RTT local): 9.926 ms
Latência uRLLC (RTT local): 1.917 ms
Latência uRLLC (RTT local): 1.764 ms
Latência uRLLC (RTT local): 1.807 ms
Latência uRLLC (RTT local): 1.654 ms
Latência uRLLC (RTT local): 1.492 ms
Latência uRLLC (RTT local): 1.405 ms
Latência uRLLC (RTT local): 1.367 ms
Latência uRLLC (RTT local): 1.972 ms
Latência uRLLC (RTT local): 1.677 ms
Latência uRLLC (RTT local): 1.637 ms
Latência uRLLC (RTT local): 2.171 ms
Latência uRLLC (RTT local): 1.341 ms
Latência uRLLC (RTT local): 1.321 ms
Latência uRLLC (RTT local): 1.560 ms
Latência uRLLC (RTT local): 2.078 ms
Latência uRLLC (RTT local): 2.305 ms
Latência uRLLC (RTT local): 1.573 ms
Latência uRLLC (RTT local): 2.655 ms
Latência uRLLC (RTT local): 1.919 ms
Latência uRLLC (RTT local): 2.101 ms
Latência uRLLC (RTT local): 1.472 ms
Latência uRLLC (RTT local): 1.470 ms
Latência uRLLC (RTT local): 2.053 ms
Latência uRLLC (RTT local): 1.997 ms
Latência uRLLC (RTT local): 1.271 ms
Latência uRLLC (RTT local): 1.714 ms
Latência uRLLC (RTT local): 1.960 ms
Latência uRLLC (RTT local): 2.416 ms
Latência uRLLC (RTT local): 2.850 ms
Latência uRLLC (RTT local): 1.411 ms
Latência uRLLC (RTT local): 3.509 ms
Latência uRLLC (RTT local): 1.369 ms
Latência uRLLC (RTT local): 1.995 ms
Latência uRLLC (RTT local): 1.356 ms
Latência uRLLC (RTT local): 1.274 ms
Latência uRLLC (RTT local): 4.858 ms
Latência uRLLC (RTT local): 1.555 ms
Latência uRLLC (RTT local): 0.828 ms
Latência uRLLC (RTT local): 1.011 ms
Latência uRLLC (RTT local): 2.978 ms
Latência uRLLC (RTT local): 1.447 ms
Latência uRLLC (RTT local): 1.108 ms
Latência uRLLC (RTT local): 1.064 ms
Latência uRLLC (RTT local): 2.084 ms
Latência uRLLC (RTT local): 1.622 ms
Latência uRLLC (RTT local): 1.027 ms
Latência uRLLC (RTT local): 1.410 ms
Latência uRLLC (RTT local): 0.949 ms
Latência uRLLC (RTT local): 1.482 ms
Latência uRLLC (RTT local): 1.475 ms
Latência uRLLC (RTT local): 1.150 ms
Latência uRLLC (RTT local): 1.077 ms
Latência uRLLC (RTT local): 1.203 ms
Latência uRLLC (RTT local): 1.423 ms
Latência uRLLC (RTT local): 1.629 ms
Latência uRLLC (RTT local): 1.492 ms
Latência uRLLC (RTT local): 1.463 ms
Latência uRLLC (RTT local): 1.472 ms
Latência uRLLC (RTT local): 2.584 ms
Latência uRLLC (RTT local): 1.653 ms
Latência uRLLC (RTT local): 1.567 ms
Latência uRLLC (RTT local): 1.335 ms
Latência uRLLC (RTT local): 1.212 ms
Latência uRLLC (RTT local): 1.627 ms
Latência uRLLC (RTT local): 1.026 ms
Latência uRLLC (RTT local): 0.936 ms
Latência uRLLC (RTT local): 0.933 ms
Latência uRLLC (RTT local): 1.162 ms
Latência uRLLC (RTT local): 1.202 ms
Latência uRLLC (RTT local): 1.005 ms
Latência uRLLC (RTT local): 0.775 ms
Latência uRLLC (RTT local): 1.574 ms
Latência uRLLC (RTT local): 1.188 ms
Latência uRLLC (RTT local): 1.337 ms
Latência uRLLC (RTT local): 1.105 ms
Latência uRLLC (RTT local): 1.252 ms
Latência uRLLC (RTT local): 1.102 ms
Latência uRLLC (RTT local): 0.846 ms
Latência uRLLC (RTT local): 0.853 ms
Latência uRLLC (RTT local): 0.756 ms
Latência uRLLC (RTT local): 1.112 ms
Latência uRLLC (RTT local): 1.772 ms
Latência uRLLC (RTT local): 0.567 ms
Latência uRLLC (RTT local): 1.603 ms
Latência uRLLC (RTT local): 1.558 ms
Latência uRLLC (RTT local): 0.937 ms
Latência uRLLC (RTT local): 1.345 ms
Latência uRLLC (RTT local): 1.610 ms
Latência uRLLC (RTT local): 1.703 ms
Latência uRLLC (RTT local): 2.065 ms
Latência uRLLC (RTT local): 1.602 ms
Latência uRLLC (RTT local): 1.772 ms
Latência uRLLC (RTT local): 1.610 ms
Latência uRLLC (RTT local): 0.832 ms
Latência uRLLC (RTT local): 1.025 ms
Latência uRLLC (RTT local): 1.240 ms
Latência uRLLC (RTT local): 1.148 ms
Latência uRLLC (RTT local): 1.667 ms
Latência uRLLC (RTT local): 2.006 ms
Latência uRLLC (RTT local): 1.418 ms
Latência uRLLC (RTT local): 1.305 ms
Latência uRLLC (RTT local): 2.027 ms
Latência uRLLC (RTT local): 1.361 ms
Latência uRLLC (RTT local): 1.392 ms
Latência uRLLC (RTT local): 1.703 ms
Latência uRLLC (RTT local): 1.272 ms
Latência uRLLC (RTT local): 1.616 ms
Latência uRLLC (RTT local): 1.374 ms
Latência uRLLC (RTT local): 2.513 ms
Latência uRLLC (RTT local): 1.238 ms
Latência uRLLC (RTT local): 1.477 ms
Latência uRLLC (RTT local): 1.314 ms
Latência uRLLC (RTT local): 3.106 ms
Latência uRLLC (RTT local): 2.155 ms
Latência uRLLC (RTT local): 1.440 ms
Latência uRLLC (RTT local): 1.251 ms
Latência uRLLC (RTT local): 1.685 ms
Latência uRLLC (RTT local): 2.341 ms
Latência uRLLC (RTT local): 1.676 ms
Latência uRLLC (RTT local): 1.651 ms
Latência uRLLC (RTT local): 1.382 ms
Latência uRLLC (RTT local): 1.397 ms
Latência uRLLC (RTT local): 2.463 ms
Latência uRLLC (RTT local): 1.692 ms
Latência uRLLC (RTT local): 1.043 ms
Latência uRLLC (RTT local): 1.604 ms
Latência uRLLC (RTT local): 1.528 ms
Latência uRLLC (RTT local): 2.105 ms
Latência uRLLC (RTT local): 1.811 ms
Latência uRLLC (RTT local): 2.118 ms
Latência uRLLC (RTT local): 0.695 ms
Latência uRLLC (RTT local): 1.092 ms
Latência uRLLC (RTT local): 0.975 ms
Latência uRLLC (RTT local): 0.984 ms
Latência uRLLC (RTT local): 1.196 ms
Latência uRLLC (RTT local): 0.938 ms
Latência uRLLC (RTT local): 0.689 ms
Latência uRLLC (RTT local): 0.971 ms
Latência uRLLC (RTT local): 0.511 ms
Latência uRLLC (RTT local): 0.771 ms
Latência uRLLC (RTT local): 0.822 ms
Latência uRLLC (RTT local): 0.490 ms
Latência uRLLC (RTT local): 0.609 ms
Latência uRLLC (RTT local): 0.990 ms
Latência uRLLC (RTT local): 0.794 ms
Latência uRLLC (RTT local): 0.605 ms
Latência uRLLC (RTT local): 0.573 ms
Latência uRLLC (RTT local): 0.901 ms
Latência uRLLC (RTT local): 0.494 ms
Latência uRLLC (RTT local): 0.811 ms
Latência uRLLC (RTT local): 0.989 ms
Latência uRLLC (RTT local): 0.747 ms
Latência uRLLC (RTT local): 0.900 ms
Latência uRLLC (RTT local): 0.818 ms
Latência uRLLC (RTT local): 0.709 ms
Latência uRLLC (RTT local): 0.524 ms
Latência uRLLC (RTT local): 0.534 ms
Latência uRLLC (RTT local): 0.797 ms
Latência uRLLC (RTT local): 0.457 ms
Latência uRLLC (RTT local): 0.554 ms
Latência uRLLC (RTT local): 1.347 ms
Latência uRLLC (RTT local): 1.328 ms
Latência uRLLC (RTT local): 3.451 ms
Latência uRLLC (RTT local): 2.146 ms
Latência uRLLC (RTT local): 0.835 ms
Latência uRLLC (RTT local): 0.940 ms
Latência uRLLC (RTT local): 1.333 ms
Latência uRLLC (RTT local): 0.844 ms
Latência uRLLC (RTT local): 0.481 ms
Latência uRLLC (RTT local): 1.008 ms
Latência uRLLC (RTT local): 0.949 ms
Latência uRLLC (RTT local): 0.916 ms
Latência uRLLC (RTT local): 0.598 ms
Latência uRLLC (RTT local): 0.583 ms
Latência uRLLC (RTT local): 0.762 ms
Latência uRLLC (RTT local): 0.570 ms
Latência uRLLC (RTT local): 0.524 ms
Latência uRLLC (RTT local): 0.456 ms
Latência uRLLC (RTT local): 0.816 ms
Latência uRLLC (RTT local): 0.560 ms
Latência uRLLC (RTT local): 0.666 ms
Latência uRLLC (RTT local): 0.807 ms
Latência uRLLC (RTT local): 0.731 ms
Latência uRLLC (RTT local): 0.573 ms
Latência uRLLC (RTT local): 1.049 ms
Latência uRLLC (RTT local): 0.629 ms
Latência uRLLC (RTT local): 1.075 ms
Latência uRLLC (RTT local): 0.663 ms
Latência uRLLC (RTT local): 0.978 ms
Latência uRLLC (RTT local): 0.487 ms
Latência uRLLC (RTT local): 0.685 ms
Latência uRLLC (RTT local): 1.456 ms
Latência uRLLC (RTT local): 1.281 ms
Latência uRLLC (RTT local): 0.722 ms
Latência uRLLC (RTT local): 0.482 ms
Latência uRLLC (RTT local): 0.647 ms
Latência uRLLC (RTT local): 0.570 ms
Latência uRLLC (RTT local): 1.484 ms
Latência uRLLC (RTT local): 0.851 ms
Latência uRLLC (RTT local): 0.950 ms
Latência uRLLC (RTT local): 0.533 ms
Latência uRLLC (RTT local): 0.695 ms
Latência uRLLC (RTT local): 0.540 ms
Latência uRLLC (RTT local): 0.796 ms
Latência uRLLC (RTT local): 1.811 ms
Latência uRLLC (RTT local): 1.114 ms
Latência uRLLC (RTT local): 1.502 ms
Latência uRLLC (RTT local): 0.890 ms
Latência uRLLC (RTT local): 1.067 ms
Latência uRLLC (RTT local): 1.037 ms
Latência uRLLC (RTT local): 0.968 ms
Latência uRLLC (RTT local): 0.981 ms
Latência uRLLC (RTT local): 1.720 ms
Latência uRLLC (RTT local): 1.153 ms
Latência uRLLC (RTT local): 0.991 ms
Latência uRLLC (RTT local): 0.991 ms
Latência uRLLC (RTT local): 0.845 ms
Latência uRLLC (RTT local): 1.060 ms
Latência uRLLC (RTT local): 0.593 ms
Latência uRLLC (RTT local): 0.876 ms
Latência uRLLC (RTT local): 0.655 ms
Latência uRLLC (RTT local): 0.683 ms
Latência uRLLC (RTT local): 0.736 ms
Latência uRLLC (RTT local): 0.849 ms
Latência uRLLC (RTT local): 1.340 ms
Latência uRLLC (RTT local): 1.135 ms
Latência uRLLC (RTT local): 0.767 ms
Latência uRLLC (RTT local): 0.740 ms
Latência uRLLC (RTT local): 0.941 ms
Latência uRLLC (RTT local): 0.838 ms
Latência uRLLC (RTT local): 0.588 ms
Latência uRLLC (RTT local): 0.447 ms
Latência uRLLC (RTT local): 0.477 ms
Latência uRLLC (RTT local): 0.508 ms
Latência uRLLC (RTT local): 0.875 ms
Latência uRLLC (RTT local): 0.791 ms
Latência uRLLC (RTT local): 0.670 ms
Latência uRLLC (RTT local): 0.736 ms
Latência uRLLC (RTT local): 0.542 ms
Latência uRLLC (RTT local): 1.105 ms
Latência uRLLC (RTT local): 0.825 ms
Latência uRLLC (RTT local): 0.735 ms
Latência uRLLC (RTT local): 1.313 ms
Latência uRLLC (RTT local): 0.855 ms
