Iniciando gerador uRLLC (Scapy/TCP) para 10.0.99.1:5000
Latência uRLLC (RTT local): 0.918 ms
Latência uRLLC (RTT local): 0.621 ms
Latência uRLLC (RTT local): 1.012 ms
Latência uRLLC (RTT local): 0.625 ms
Latência uRLLC (RTT local): 0.593 ms
Latência uRLLC (RTT local): 0.587 ms
Latência uRLLC (RTT local): 0.606 ms
Latência uRLLC (RTT local): 0.675 ms
Latência uRLLC (RTT local): 0.774 ms
Latência uRLLC (RTT local): 0.941 ms
Latência uRLLC (RTT local): 0.696 ms
Latência uRLLC (RTT local): 0.603 ms
Latência uRLLC (RTT local): 0.596 ms
Latência uRLLC (RTT local): 0.570 ms
Latência uRLLC (RTT local): 0.731 ms
Latência uRLLC (RTT local): 0.573 ms
Latência uRLLC (RTT local): 0.711 ms
Latência uRLLC (RTT local): 0.693 ms
Latência uRLLC (RTT local): 0.618 ms
Latência uRLLC (RTT local): 0.576 ms
Latência uRLLC (RTT local): 0.437 ms
Latência uRLLC (RTT local): 0.540 ms
Latência uRLLC (RTT local): 0.458 ms
Latência uRLLC (RTT local): 0.489 ms
Latência uRLLC (RTT local): 0.558 ms
Latência uRLLC (RTT local): 0.688 ms
Latência uRLLC (RTT local): 0.763 ms
Latência uRLLC (RTT local): 0.886 ms
Latência uRLLC (RTT local): 0.485 ms
Latência uRLLC (RTT local): 0.514 ms
Latência uRLLC (RTT local): 0.684 ms
Latência uRLLC (RTT local): 0.511 ms
Latência uRLLC (RTT local): 0.503 ms
Latência uRLLC (RTT local): 0.780 ms
Latência uRLLC (RTT local): 2.731 ms
Latência uRLLC (RTT local): 0.794 ms
Latência uRLLC (RTT local): 0.681 ms
Latência uRLLC (RTT local): 0.398 ms
Latência uRLLC (RTT local): 0.742 ms
Latência uRLLC (RTT local): 0.429 ms
Latência uRLLC (RTT local): 0.438 ms
Latência uRLLC (RTT local): 0.784 ms
Latência uRLLC (RTT local): 0.569 ms
Latência uRLLC (RTT local): 0.771 ms
Latência uRLLC (RTT local): 0.614 ms
Latência uRLLC (RTT local): 0.826 ms
Latência uRLLC (RTT local): 0.558 ms
Latência uRLLC (RTT local): 1.061 ms
Latência uRLLC (RTT local): 0.742 ms
Latência uRLLC (RTT local): 0.632 ms
Latência uRLLC (RTT local): 0.421 ms
Latência uRLLC (RTT local): 0.837 ms
Latência uRLLC (RTT local): 0.587 ms
Latência uRLLC (RTT local): 0.522 ms
Latência uRLLC (RTT local): 0.540 ms
Latência uRLLC (RTT local): 0.519 ms
Latência uRLLC (RTT local): 0.814 ms
Latência uRLLC (RTT local): 0.925 ms
Latência uRLLC (RTT local): 1.017 ms
Latência uRLLC (RTT local): 0.803 ms
Latência uRLLC (RTT local): 0.632 ms
Latência uRLLC (RTT local): 0.815 ms
Latência uRLLC (RTT local): 0.747 ms
Latência uRLLC (RTT local): 0.768 ms
Latência uRLLC (RTT local): 0.657 ms
Latência uRLLC (RTT local): 0.843 ms
Latência uRLLC (RTT local): 0.784 ms
Latência uRLLC (RTT local): 0.415 ms
Latência uRLLC (RTT local): 0.728 ms
Latência uRLLC (RTT local): 0.642 ms
Latência uRLLC (RTT local): 1.037 ms
Latência uRLLC (RTT local): 0.564 ms
Latência uRLLC (RTT local): 0.573 ms
Latência uRLLC (RTT local): 0.671 ms
Latência uRLLC (RTT local): 0.711 ms
Latência uRLLC (RTT local): 1.320 ms
Latência uRLLC (RTT local): 1.295 ms
Latência uRLLC (RTT local): 1.601 ms
Latência uRLLC (RTT local): 0.603 ms
Latência uRLLC (RTT local): 0.757 ms
Latência uRLLC (RTT local): 1.519 ms
Latência uRLLC (RTT local): 3.896 ms
Latência uRLLC (RTT local): 0.664 ms
Latência uRLLC (RTT local): 0.693 ms
Latência uRLLC (RTT local): 0.911 ms
Latência uRLLC (RTT local): 0.692 ms
Latência uRLLC (RTT local): 0.774 ms
Latência uRLLC (RTT local): 0.578 ms
Latência uRLLC (RTT local): 0.495 ms
Latência uRLLC (RTT local): 0.638 ms
Latência uRLLC (RTT local): 0.475 ms
Latência uRLLC (RTT local): 0.482 ms
Latência uRLLC (RTT local): 1.042 ms
Latência uRLLC (RTT local): 2.619 ms
Latência uRLLC (RTT local): 0.692 ms
Latência uRLLC (RTT local): 1.393 ms
Latência uRLLC (RTT local): 0.694 ms
Latência uRLLC (RTT local): 2.210 ms
Latência uRLLC (RTT local): 1.697 ms
