Iniciando monitor/controlador uRLLC em 10.0.99.1:5000 (Central de Monitoramento do campus)
Latência medida: 2.031 ms (de 10.0.21.1 - Laboratorios, seq=0)
Latência medida: 0.448 ms (de 10.0.31.1 - Reitoria, seq=0)
Latência medida: 0.582 ms (de 10.0.11.1 - Biblioteca, seq=0)
Latência medida: 0.391 ms (de 10.0.21.1 - Laboratorios, seq=1)
Latência medida: 0.397 ms (de 10.0.31.1 - Reitoria, seq=1)
Latência medida: 0.461 ms (de 10.0.11.1 - Biblioteca, seq=1)
Latência medida: 0.355 ms (de 10.0.31.1 - Reitoria, seq=2)
Latência medida: 0.717 ms (de 10.0.11.1 - Biblioteca, seq=2)
Latência medida: 0.337 ms (de 10.0.21.1 - Laboratorios, seq=2)
Latência medida: 0.596 ms (de 10.0.31.1 - Reitoria, seq=3)
Latência medida: 0.653 ms (de 10.0.11.1 - Biblioteca, seq=3)
Latência medida: 0.319 ms (de 10.0.21.1 - Laboratorios, seq=3)
Latência medida: 0.431 ms (de 10.0.31.1 - Reitoria, seq=4)
Latência medida: 0.628 ms (de 10.0.11.1 - Biblioteca, seq=4)
Latência medida: 0.292 ms (de 10.0.21.1 - Laboratorios, seq=4)
Latência medida: 0.655 ms (de 10.0.31.1 - Reitoria, seq=5)
Latência medida: 0.859 ms (de 10.0.11.1 - Biblioteca, seq=5)
Latência medida: 0.553 ms (de 10.0.21.1 - Laboratorios, seq=5)
Latência medida: 0.702 ms (de 10.0.31.1 - Reitoria, seq=6)
Latência medida: 0.534 ms (de 10.0.21.1 - Laboratorios, seq=6)
Latência medida: 1.139 ms (de 10.0.11.1 - Biblioteca, seq=6)
Latência medida: 0.498 ms (de 10.0.31.1 - Reitoria, seq=7)
Latência medida: 0.276 ms (de 10.0.21.1 - Laboratorios, seq=7)
Latência medida: 0.313 ms (de 10.0.11.1 - Biblioteca, seq=7)
Latência medida: 0.575 ms (de 10.0.31.1 - Reitoria, seq=8)
Latência medida: 0.430 ms (de 10.0.11.1 - Biblioteca, seq=8)
Latência medida: 0.188 ms (de 10.0.21.1 - Laboratorios, seq=8)
Latência medida: 0.501 ms (de 10.0.31.1 - Reitoria, seq=9)
Latência medida: 0.748 ms (de 10.0.11.1 - Biblioteca, seq=9)
Latência medida: 0.652 ms (de 10.0.21.1 - Laboratorios, seq=9)
Latência medida: 0.649 ms (de 10.0.31.1 - Reitoria, seq=10)
Latência medida: 0.760 ms (de 10.0.11.1 - Biblioteca, seq=10)
Latência medida: 0.539 ms (de 10.0.21.1 - Laboratorios, seq=10)
Latência medida: 0.724 ms (de 10.0.31.1 - Reitoria, seq=11)
Latência medida: 0.333 ms (de 10.0.21.1 - Laboratorios, seq=11)
Latência medida: 0.424 ms (de 10.0.11.1 - Biblioteca, seq=11)
Latência medida: 0.441 ms (de 10.0.31.1 - Reitoria, seq=12)
Latência medida: 0.648 ms (de 10.0.21.1 - Laboratorios, seq=12)
Latência medida: 0.610 ms (de 10.0.11.1 - Biblioteca, seq=12)
Latência medida: 0.518 ms (de 10.0.31.1 - Reitoria, seq=13)
Latência medida: 0.409 ms (de 10.0.21.1 - Laboratorios, seq=13)
Latência medida: 0.822 ms (de 10.0.11.1 - Biblioteca, seq=13)
Latência medida: 0.531 ms (de 10.0.31.1 - Reitoria, seq=14)
Latência medida: 0.404 ms (de 10.0.21.1 - Laboratorios, seq=14)
Latência medida: 0.562 ms (de 10.0.11.1 - Biblioteca, seq=14)
Latência medida: 0.466 ms (de 10.0.31.1 - Reitoria, seq=15)
Latência medida: 0.346 ms (de 10.0.21.1 - Laboratorios, seq=15)
Latência medida: 0.649 ms (de 10.0.11.1 - Biblioteca, seq=15)
Latência medida: 0.404 ms (de 10.0.31.1 - Reitoria, seq=16)
Latência medida: 0.712 ms (de 10.0.21.1 - Laboratorios, seq=16)
