Iniciando gerador uRLLC (Scapy/TCP) para 10.0.99.1:5000
Latência uRLLC (RTT local): 0.943 ms
Latência uRLLC (RTT local): 0.717 ms
Latência uRLLC (RTT local): 0.686 ms
Latência uRLLC (RTT local): 1.247 ms
Latência uRLLC (RTT local): 0.779 ms
Latência uRLLC (RTT local): 1.055 ms
Latência uRLLC (RTT local): 1.292 ms
Latência uRLLC (RTT local): 1.015 ms
Latência uRLLC (RTT local): 1.044 ms
Latência uRLLC (RTT local): 1.143 ms
Latência uRLLC (RTT local): 1.201 ms
Latência uRLLC (RTT local): 1.106 ms
Latência uRLLC (RTT local): 0.773 ms
Latência uRLLC (RTT local): 0.899 ms
Latência uRLLC (RTT local): 0.905 ms
Latência uRLLC (RTT local): 0.822 ms
Latência uRLLC (RTT local): 1.021 ms
Latência uRLLC (RTT local): 0.733 ms
Latência uRLLC (RTT local): 0.739 ms
Latência uRLLC (RTT local): 1.155 ms
Latência uRLLC (RTT local): 0.928 ms
Latência uRLLC (RTT local): 1.045 ms
Latência uRLLC (RTT local): 1.133 ms
Latência uRLLC (RTT local): 1.093 ms
Latência uRLLC (RTT local): 1.081 ms
Latência uRLLC (RTT local): 0.939 ms
Latência uRLLC (RTT local): 0.967 ms
Latência uRLLC (RTT local): 5.594 ms
Latência uRLLC (RTT local): 1.733 ms
Latência uRLLC (RTT local): 0.989 ms
Latência uRLLC (RTT local): 1.264 ms
Latência uRLLC (RTT local): 1.410 ms
Latência uRLLC (RTT local): 1.180 ms
Latência uRLLC (RTT local): 1.204 ms
Latência uRLLC (RTT local): 1.072 ms
Latência uRLLC (RTT local): 1.000 ms
Latência uRLLC (RTT local): 0.801 ms
Latência uRLLC (RTT local): 0.953 ms
Latência uRLLC (RTT local): 0.660 ms
Latência uRLLC (RTT local): 0.546 ms
Latência uRLLC (RTT local): 0.760 ms
Latência uRLLC (RTT local): 0.965 ms
Latência uRLLC (RTT local): 1.084 ms
Latência uRLLC (RTT local): 0.697 ms
Latência uRLLC (RTT local): 1.202 ms
Latência uRLLC (RTT local): 1.114 ms
Latência uRLLC (RTT local): 1.221 ms
Latência uRLLC (RTT local): 0.897 ms
Latência uRLLC (RTT local): 0.436 ms
Latência uRLLC (RTT local): 0.893 ms
Latência uRLLC (RTT local): 0.909 ms
