Iniciando gerador uRLLC (Scapy/TCP) para 10.0.99.1:5000
Erro de conexão: timed out, reconectando
Erro de conexão: timed out, reconectando
Latência uRLLC (RTT local): 315.506 ms
Latência uRLLC (RTT local): 891.662 ms
Latência uRLLC (RTT local): 1115.069 ms
Erro de conexão: timed out, reconectando
Erro de conexão: timed out, reconectando
Erro de conexão: timed out, reconectando
Erro de conexão: timed out, reconectando
Erro de conexão: timed out, reconectando
Erro de conexão: timed out, reconectando
Latência uRLLC (RTT local): 2251.626 ms
Falha ao medir latência, reconectando
Latência uRLLC (RTT local): 1.746 ms
Latência uRLLC (RTT local): 1.274 ms
Latência uRLLC (RTT local): 1.674 ms
Latência uRLLC (RTT local): 1.417 ms
Latência uRLLC (RTT local): 1.344 ms
Latência uRLLC (RTT local): 2.039 ms
Latência uRLLC (RTT local): 1.271 ms
Latência uRLLC (RTT local): 1.757 ms
Latência uRLLC (RTT local): 1.288 ms
Latência uRLLC (RTT local): 1.338 ms
Latência uRLLC (RTT local): 1.522 ms
Latência uRLLC (RTT local): 1.301 ms
Latência uRLLC (RTT local): 2.056 ms
Latência uRLLC (RTT local): 1.303 ms
Latência uRLLC (RTT local): 1.801 ms
Latência uRLLC (RTT local): 3.511 ms
Latência uRLLC (RTT local): 1.418 ms
Latência uRLLC (RTT local): 1.592 ms
Latência uRLLC (RTT local): 1.835 ms
Latência uRLLC (RTT local): 1.557 ms
Latência uRLLC (RTT local): 1.194 ms
Latência uRLLC (RTT local): 1.325 ms
Latência uRLLC (RTT local): 2.034 ms
Latência uRLLC (RTT local): 1.350 ms
Gerador uRLLC finalizado. 28 medições salvas; tentativas=37, falhas=9
