Iniciando gerador uRLLC (Scapy/TCP) para 10.0.99.1:5000
Latência uRLLC (RTT local): 1150.390 ms
Latência uRLLC (RTT local): 315.679 ms
Latência uRLLC (RTT local): 899.485 ms
Latência uRLLC (RTT local): 347.479 ms
Latência uRLLC (RTT local): 55.920 ms
Latência uRLLC (RTT local): 1279.408 ms
Latência uRLLC (RTT local): 56.308 ms
Erro de conexão: timed out, reconectando
Latência uRLLC (RTT local): 56.227 ms
Latência uRLLC (RTT local): 56.263 ms
Falha ao medir latência, reconectando
Latência uRLLC (RTT local): 626.028 ms
Latência uRLLC (RTT local): 56.205 ms
Latência uRLLC (RTT local): 315.808 ms
Falha ao medir latência, reconectando
Erro de conexão: timed out, reconectando
Erro de conexão: timed out, reconectando
Latência uRLLC (RTT local): 368.423 ms
Latência uRLLC (RTT local): 56.578 ms
Latência uRLLC (RTT local): 56.578 ms
Latência uRLLC (RTT local): 321.078 ms
Latência uRLLC (RTT local): 1362.590 ms
Latência uRLLC (RTT local): 658.471 ms
Falha ao medir latência, reconectando
Latência uRLLC (RTT local): 56.432 ms
Latência uRLLC (RTT local): 320.293 ms
Latência uRLLC (RTT local): 319.465 ms
Erro de conexão: timed out, reconectando
Latência uRLLC (RTT local): 56.744 ms
Latência uRLLC (RTT local): 1109.757 ms
Latência uRLLC (RTT local): 1371.985 ms
Latência uRLLC (RTT local): 315.215 ms
Latência uRLLC (RTT local): 435.548 ms
Erro de conexão: timed out, reconectando
Latência uRLLC (RTT local): 1.373 ms
Latência uRLLC (RTT local): 1.102 ms
Latência uRLLC (RTT local): 1.170 ms
Latência uRLLC (RTT local): 1.174 ms
Latência uRLLC (RTT local): 2.010 ms
Latência uRLLC (RTT local): 1.276 ms
Latência uRLLC (RTT local): 1.216 ms
Latência uRLLC (RTT local): 2.108 ms
Latência uRLLC (RTT local): 1.625 ms
Latência uRLLC (RTT local): 1.006 ms
Latência uRLLC (RTT local): 1.142 ms
Latência uRLLC (RTT local): 1.144 ms
Latência uRLLC (RTT local): 0.818 ms
Latência uRLLC (RTT local): 1.263 ms
Latência uRLLC (RTT local): 1.459 ms
Latência uRLLC (RTT local): 1.280 ms
Latência uRLLC (RTT local): 1.045 ms
Latência uRLLC (RTT local): 2.875 ms
Latência uRLLC (RTT local): 1.594 ms
Latência uRLLC (RTT local): 1.316 ms
Latência uRLLC (RTT local): 1.272 ms
Latência uRLLC (RTT local): 1.589 ms
Latência uRLLC (RTT local): 1.573 ms
Latência uRLLC (RTT local): 1.246 ms
Latência uRLLC (RTT local): 1.612 ms
Latência uRLLC (RTT local): 1.542 ms
Gerador uRLLC finalizado. 52 medições salvas; tentativas=60, falhas=8
