Iniciando gerador uRLLC (Scapy/TCP) para 10.0.99.1:5000
Erro de conexão: timed out, reconectando
Latência uRLLC (RTT local): 314.997 ms
Latência uRLLC (RTT local): 56.704 ms
Latência uRLLC (RTT local): 2205.274 ms
Latência uRLLC (RTT local): 660.241 ms
Latência uRLLC (RTT local): 601.551 ms
Falha ao medir latência, reconectando
Erro de conexão: timed out, reconectando
Latência uRLLC (RTT local): 376.005 ms
Latência uRLLC (RTT local): 56.596 ms
Latência uRLLC (RTT local): 318.711 ms
Latência uRLLC (RTT local): 1895.910 ms
Latência uRLLC (RTT local): 56.648 ms
Latência uRLLC (RTT local): 56.579 ms
Latência uRLLC (RTT local): 56.389 ms
Erro de conexão: timed out, reconectando
Erro de conexão: timed out, reconectando
Erro de conexão: timed out, reconectando
Latência uRLLC (RTT local): 2499.704 ms
Erro de conexão: timed out, reconectando
Falha ao medir latência, reconectando
Latência uRLLC (RTT local): 1.497 ms
Latência uRLLC (RTT local): 1.440 ms
Latência uRLLC (RTT local): 1.362 ms
Latência uRLLC (RTT local): 1.194 ms
Latência uRLLC (RTT local): 1.139 ms
Latência uRLLC (RTT local): 1.313 ms
Latência uRLLC (RTT local): 1.325 ms
Latência uRLLC (RTT local): 1.703 ms
Latência uRLLC (RTT local): 1.220 ms
Latência uRLLC (RTT local): 1.395 ms
Latência uRLLC (RTT local): 1.167 ms
Latência uRLLC (RTT local): 2.031 ms
Latência uRLLC (RTT local): 1.150 ms
Latência uRLLC (RTT local): 1.822 ms
Latência uRLLC (RTT local): 1.089 ms
Latência uRLLC (RTT local): 1.779 ms
Latência uRLLC (RTT local): 1.954 ms
Latência uRLLC (RTT local): 2.887 ms
Latência uRLLC (RTT local): 1.356 ms
Latência uRLLC (RTT local): 1.377 ms
Latência uRLLC (RTT local): 2.153 ms
Latência uRLLC (RTT local): 1.291 ms
Latência uRLLC (RTT local): 2.404 ms
Latência uRLLC (RTT local): 0.892 ms
Latência uRLLC (RTT local): 1.834 ms
Latência uRLLC (RTT local): 2.223 ms
Latência uRLLC (RTT local): 1.715 ms
Gerador uRLLC finalizado. 40 medições salvas; tentativas=48, falhas=8
