timestamp_recebimento,ip_origem,site,sequencia,latencia_ms
1784977006.254880,10.0.21.1,Laboratorios,0,56.020
1784977007.305821,10.0.31.1,Reitoria,0,55.545
1784977007.569979,10.0.11.1,Biblioteca,0,319.469
1784977007.726786,10.0.31.1,Reitoria,1,56.284
1784977007.883480,10.0.31.1,Reitoria,2,55.604
1784977007.987979,10.0.11.1,Biblioteca,1,317.156
1784977008.041424,10.0.31.1,Reitoria,3,56.216
1784977008.149356,10.0.11.1,Biblioteca,2,56.078
1784977008.198345,10.0.31.1,Reitoria,4,56.076
1784977008.355093,10.0.31.1,Reitoria,5,55.939
1784977008.511295,10.0.31.1,Reitoria,6,55.554
1784977008.668088,10.0.31.1,Reitoria,7,55.914
1784977008.986413,10.0.21.1,Laboratorios,1,315.440
1784977009.476265,10.0.31.1,Reitoria,8,437.474
1784977010.934476,10.0.21.1,Laboratorios,2,55.839
1784977011.732021,10.0.31.1,Reitoria,9,56.432
1784977011.888869,10.0.31.1,Reitoria,10,55.551
1784977012.045806,10.0.31.1,Reitoria,11,56.114
1784977012.206766,10.0.31.1,Reitoria,12,56.131
1784977012.625231,10.0.31.1,Reitoria,13,317.633
1784977012.783694,10.0.31.1,Reitoria,14,55.967
1784977013.199369,10.0.31.1,Reitoria,15,56.567
1784977013.713871,10.0.31.1,Reitoria,16,413.555
1784977014.134606,10.0.31.1,Reitoria,17,55.902
1784977014.291413,10.0.31.1,Reitoria,18,56.046
1784977015.881427,10.0.21.1,Laboratorios,3,55.430
1784977016.297722,10.0.21.1,Laboratorios,4,315.061
1784977017.233728,10.0.21.1,Laboratorios,5,835.055
1784977017.554310,10.0.31.1,Reitoria,19,55.872
1784977021.064985,10.0.31.1,Reitoria,20,55.466
1784977021.223685,10.0.31.1,Reitoria,21,55.964
1784977022.410169,10.0.21.1,Laboratorios,6,55.916
1784977030.025515,10.0.31.1,Reitoria,22,56.061
1784977030.447214,10.0.31.1,Reitoria,23,56.221
1784977030.604226,10.0.31.1,Reitoria,24,55.843
1784977031.825770,10.0.31.1,Reitoria,25,1120.429
1784977031.982975,10.0.31.1,Reitoria,26,55.875
1784977032.687967,10.0.31.1,Reitoria,27,56.079
1784977033.650002,10.0.31.1,Reitoria,28,314.665
1784977033.811425,10.0.31.1,Reitoria,29,55.935
1784977033.967795,10.0.31.1,Reitoria,30,55.541
1784977034.066308,10.0.21.1,Laboratorios,7,2239.945
1784977034.913783,10.0.31.1,Reitoria,31,314.958
1784977035.331601,10.0.31.1,Reitoria,32,316.315
1784977035.750683,10.0.31.1,Reitoria,33,55.773
1784977036.114311,10.0.11.1,Biblioteca,3,1105.874
1784977036.530319,10.0.11.1,Biblioteca,4,314.981
1784977036.610275,10.0.31.1,Reitoria,34,758.458
1784977036.687193,10.0.11.1,Biblioteca,5,55.546
1784977037.102784,10.0.11.1,Biblioteca,6,55.431
1784977037.298691,10.0.21.1,Laboratorios,7,315.011
1784977038.327813,10.0.21.1,Laboratorios,8,55.972
1784977039.416475,10.0.21.1,Laboratorios,9,56.312
1784977039.574275,10.0.21.1,Laboratorios,10,56.082
1784977039.881736,10.0.31.1,Reitoria,35,55.837
1784977041.658429,10.0.31.1,Reitoria,36,570.157
1784977043.346306,10.0.31.1,Reitoria,37,1114.364
1784977043.762431,10.0.31.1,Reitoria,38,315.265
1784977043.919943,10.0.31.1,Reitoria,39,56.120
1784977044.077235,10.0.31.1,Reitoria,40,56.075
1784977047.826953,10.0.21.1,Laboratorios,10,55.829
1784977048.017854,10.0.31.1,Reitoria,41,319.123
1784977048.436365,10.0.31.1,Reitoria,42,317.606
1784977049.234502,10.0.31.1,Reitoria,43,434.768
1784977049.391308,10.0.31.1,Reitoria,44,55.789
1784977053.642070,10.0.31.1,Reitoria,45,55.469
1784977054.091715,10.0.11.1,Biblioteca,7,56.489
1784977056.834676,10.0.11.1,Biblioteca,8,320.541
1784977057.546157,10.0.31.1,Reitoria,46,56.047
1784977057.703041,10.0.31.1,Reitoria,47,56.059
1784977058.322342,10.0.11.1,Biblioteca,9,1114.055
1784977058.386104,10.0.31.1,Reitoria,48,582.183
1784977058.738331,10.0.11.1,Biblioteca,10,315.200
1784977058.799742,10.0.31.1,Reitoria,49,56.160
1784977058.957108,10.0.31.1,Reitoria,50,56.180
1784977059.113391,10.0.31.1,Reitoria,51,55.653
1784977060.202584,10.0.11.1,Biblioteca,11,842.511
1784977061.798418,10.0.31.1,Reitoria,52,56.359
1784977062.506341,10.0.31.1,Reitoria,53,313.139
1784977062.664350,10.0.31.1,Reitoria,54,56.174
1784977062.821009,10.0.31.1,Reitoria,55,55.700
1784977063.179511,10.0.31.1,Reitoria,56,257.584
1784977063.282096,10.0.31.1,Reitoria,57,0.877
1784977063.388931,10.0.31.1,Reitoria,58,0.805
1784977063.490668,10.0.31.1,Reitoria,59,0.790
1784977063.595684,10.0.31.1,Reitoria,60,0.711
1784977063.699308,10.0.31.1,Reitoria,61,0.787
1784977063.708307,10.0.21.1,Laboratorios,11,0.885
1784977063.801184,10.0.31.1,Reitoria,62,0.668
1784977063.811616,10.0.21.1,Laboratorios,12,0.923
1784977063.903955,10.0.31.1,Reitoria,63,1.482
1784977063.913693,10.0.21.1,Laboratorios,13,1.054
1784977064.007428,10.0.31.1,Reitoria,64,0.806
1784977064.019654,10.0.21.1,Laboratorios,14,1.089
1784977064.111467,10.0.31.1,Reitoria,65,0.714
1784977064.122655,10.0.21.1,Laboratorios,15,0.599
1784977064.217706,10.0.31.1,Reitoria,66,0.948
1784977064.228353,10.0.21.1,Laboratorios,16,0.912
1784977064.321286,10.0.31.1,Reitoria,67,0.632
1784977064.330351,10.0.21.1,Laboratorios,17,0.804
1784977064.424256,10.0.31.1,Reitoria,68,0.922
1784977064.433022,10.0.21.1,Laboratorios,18,1.017
1784977064.467553,10.0.11.1,Biblioteca,11,0.601
1784977064.528549,10.0.31.1,Reitoria,69,0.880
1784977064.534400,10.0.21.1,Laboratorios,19,0.582
1784977064.569963,10.0.11.1,Biblioteca,12,0.816
1784977064.631438,10.0.31.1,Reitoria,70,0.813
1784977064.635693,10.0.21.1,Laboratorios,20,0.511
1784977064.672073,10.0.11.1,Biblioteca,13,0.803
1784977064.733277,10.0.31.1,Reitoria,71,0.727
1784977064.737121,10.0.21.1,Laboratorios,21,0.532
1784977064.777434,10.0.11.1,Biblioteca,14,0.842
1784977064.836359,10.0.31.1,Reitoria,72,0.701
1784977064.838663,10.0.21.1,Laboratorios,22,0.655
1784977064.881000,10.0.11.1,Biblioteca,15,0.970
1784977064.940828,10.0.21.1,Laboratorios,23,0.899
1784977064.940617,10.0.31.1,Reitoria,73,1.064
1784977064.984852,10.0.11.1,Biblioteca,16,1.898
1784977065.046051,10.0.21.1,Laboratorios,24,1.962
1784977065.045628,10.0.31.1,Reitoria,74,1.379
1784977065.090888,10.0.11.1,Biblioteca,17,0.809
1784977065.147691,10.0.31.1,Reitoria,75,0.720
1784977065.147969,10.0.21.1,Laboratorios,25,0.663
1784977065.192779,10.0.11.1,Biblioteca,18,0.846
1784977065.249851,10.0.31.1,Reitoria,76,0.407
1784977065.250960,10.0.21.1,Laboratorios,26,0.228
1784977065.299269,10.0.11.1,Biblioteca,19,0.736
1784977065.350830,10.0.31.1,Reitoria,77,0.581
1784977065.352087,10.0.21.1,Laboratorios,27,0.572
1784977065.402450,10.0.11.1,Biblioteca,20,1.127
1784977065.453733,10.0.31.1,Reitoria,78,0.764
1784977065.454765,10.0.21.1,Laboratorios,28,0.677
1784977065.506037,10.0.11.1,Biblioteca,21,0.747
1784977065.555621,10.0.31.1,Reitoria,79,0.698
1784977065.556369,10.0.21.1,Laboratorios,29,0.809
1784977065.612693,10.0.11.1,Biblioteca,22,0.741
1784977065.659384,10.0.31.1,Reitoria,80,0.610
1784977065.659831,10.0.21.1,Laboratorios,30,1.306
1784977065.720269,10.0.11.1,Biblioteca,23,1.264
1784977065.762170,10.0.21.1,Laboratorios,31,0.980
1784977065.761833,10.0.31.1,Reitoria,81,0.532
1784977065.827868,10.0.11.1,Biblioteca,24,1.207
1784977065.864856,10.0.21.1,Laboratorios,32,0.650
1784977065.866478,10.0.31.1,Reitoria,82,0.706
1784977065.932309,10.0.11.1,Biblioteca,25,1.010
1784977065.968452,10.0.31.1,Reitoria,83,0.606
1784977065.968045,10.0.21.1,Laboratorios,33,0.623
1784977066.039535,10.0.11.1,Biblioteca,26,1.904
1784977066.070889,10.0.31.1,Reitoria,84,0.874
1784977066.072293,10.0.21.1,Laboratorios,34,0.774
1784977066.143295,10.0.11.1,Biblioteca,27,0.946
