Iniciando monitor/controlador uRLLC em 10.0.99.1:5000 (Central de Monitoramento do campus)
Latência medida: 586.459 ms (de 10.0.21.1 - Laboratorios, seq=0)
Latência medida: 587.307 ms (de 10.0.11.1 - Biblioteca, seq=0)
Sinal enviado: ativar
Latência medida: 2.333 ms (de 10.0.31.1 - Reitoria, seq=0)
Latência medida: 2.805 ms (de 10.0.21.1 - Laboratorios, seq=0)
Latência medida: 0.344 ms (de 10.0.21.1 - Laboratorios, seq=1)
Latência medida: 0.233 ms (de 10.0.31.1 - Reitoria, seq=1)
Sinal enviado: desativar
Latência medida: 0.293 ms (de 10.0.31.1 - Reitoria, seq=2)
Latência medida: 0.446 ms (de 10.0.21.1 - Laboratorios, seq=2)
Latência medida: 0.363 ms (de 10.0.31.1 - Reitoria, seq=3)
Latência medida: 0.506 ms (de 10.0.21.1 - Laboratorios, seq=3)
Latência medida: 0.444 ms (de 10.0.11.1 - Biblioteca, seq=1)
Latência medida: 0.312 ms (de 10.0.31.1 - Reitoria, seq=4)
Latência medida: 0.502 ms (de 10.0.21.1 - Laboratorios, seq=4)
Latência medida: 1.712 ms (de 10.0.11.1 - Biblioteca, seq=2)
Latência medida: 1.131 ms (de 10.0.31.1 - Reitoria, seq=5)
Latência medida: 0.806 ms (de 10.0.21.1 - Laboratorios, seq=5)
Latência medida: 2.102 ms (de 10.0.11.1 - Biblioteca, seq=3)
Latência medida: 1.126 ms (de 10.0.31.1 - Reitoria, seq=6)
Latência medida: 0.887 ms (de 10.0.21.1 - Laboratorios, seq=6)
Latência medida: 1.463 ms (de 10.0.21.1 - Laboratorios, seq=7)
Latência medida: 1.865 ms (de 10.0.11.1 - Biblioteca, seq=4)
Latência medida: 0.983 ms (de 10.0.31.1 - Reitoria, seq=7)
Latência medida: 1.194 ms (de 10.0.31.1 - Reitoria, seq=8)
Latência medida: 1.519 ms (de 10.0.21.1 - Laboratorios, seq=8)
Latência medida: 0.736 ms (de 10.0.11.1 - Biblioteca, seq=5)
Latência medida: 1.577 ms (de 10.0.21.1 - Laboratorios, seq=9)
Latência medida: 1.066 ms (de 10.0.31.1 - Reitoria, seq=9)
Latência medida: 1.209 ms (de 10.0.11.1 - Biblioteca, seq=6)
Latência medida: 1.343 ms (de 10.0.21.1 - Laboratorios, seq=10)
Latência medida: 0.891 ms (de 10.0.31.1 - Reitoria, seq=10)
Latência medida: 0.938 ms (de 10.0.11.1 - Biblioteca, seq=7)
Latência medida: 1.337 ms (de 10.0.21.1 - Laboratorios, seq=11)
Latência medida: 0.818 ms (de 10.0.31.1 - Reitoria, seq=11)
Latência medida: 0.849 ms (de 10.0.11.1 - Biblioteca, seq=8)
Latência medida: 2.372 ms (de 10.0.21.1 - Laboratorios, seq=12)
Latência medida: 1.335 ms (de 10.0.31.1 - Reitoria, seq=12)
Latência medida: 0.896 ms (de 10.0.11.1 - Biblioteca, seq=9)
Latência medida: 1.448 ms (de 10.0.21.1 - Laboratorios, seq=13)
Latência medida: 2.561 ms (de 10.0.31.1 - Reitoria, seq=13)
Latência medida: 0.991 ms (de 10.0.11.1 - Biblioteca, seq=10)
Latência medida: 1.539 ms (de 10.0.21.1 - Laboratorios, seq=14)
Latência medida: 1.484 ms (de 10.0.31.1 - Reitoria, seq=14)
Latência medida: 0.919 ms (de 10.0.11.1 - Biblioteca, seq=11)
Latência medida: 1.714 ms (de 10.0.21.1 - Laboratorios, seq=15)
Latência medida: 1.306 ms (de 10.0.31.1 - Reitoria, seq=15)
Latência medida: 0.779 ms (de 10.0.11.1 - Biblioteca, seq=12)
Latência medida: 0.451 ms (de 10.0.31.1 - Reitoria, seq=16)
Latência medida: 0.264 ms (de 10.0.21.1 - Laboratorios, seq=16)
Latência medida: 0.362 ms (de 10.0.11.1 - Biblioteca, seq=13)
Latência medida: 0.731 ms (de 10.0.11.1 - Biblioteca, seq=14)
Latência medida: 0.493 ms (de 10.0.21.1 - Laboratorios, seq=17)
Latência medida: 0.376 ms (de 10.0.31.1 - Reitoria, seq=17)
Latência medida: 1.310 ms (de 10.0.21.1 - Laboratorios, seq=18)
Latência medida: 1.252 ms (de 10.0.11.1 - Biblioteca, seq=15)
Latência medida: 1.022 ms (de 10.0.31.1 - Reitoria, seq=18)
Latência medida: 1.641 ms (de 10.0.11.1 - Biblioteca, seq=16)
Latência medida: 0.784 ms (de 10.0.21.1 - Laboratorios, seq=19)
Latência medida: 0.752 ms (de 10.0.31.1 - Reitoria, seq=19)
Latência medida: 2.081 ms (de 10.0.21.1 - Laboratorios, seq=20)
Latência medida: 0.904 ms (de 10.0.11.1 - Biblioteca, seq=17)
Latência medida: 0.438 ms (de 10.0.31.1 - Reitoria, seq=20)
Latência medida: 1.647 ms (de 10.0.31.1 - Reitoria, seq=21)
Latência medida: 1.862 ms (de 10.0.11.1 - Biblioteca, seq=18)
Latência medida: 0.817 ms (de 10.0.21.1 - Laboratorios, seq=21)
Latência medida: 2.116 ms (de 10.0.21.1 - Laboratorios, seq=22)
Latência medida: 1.683 ms (de 10.0.31.1 - Reitoria, seq=22)
Latência medida: 2.036 ms (de 10.0.11.1 - Biblioteca, seq=19)
Latência medida: 1.474 ms (de 10.0.31.1 - Reitoria, seq=23)
Latência medida: 0.719 ms (de 10.0.21.1 - Laboratorios, seq=23)
Latência medida: 0.834 ms (de 10.0.11.1 - Biblioteca, seq=20)
