Iniciando gerador uRLLC (Scapy/TCP) para 10.0.99.1:5000
Latência uRLLC (RTT local): 588.549 ms
Erro de conexão: timed out, reconectando
Erro de conexão: timed out, reconectando
Erro de conexão: timed out, reconectando
Erro de conexão: timed out, reconectando
Erro de conexão: timed out, reconectando
Erro de conexão: timed out, reconectando
Erro de conexão: timed out, reconectando
Erro de conexão: timed out, reconectando
Erro de conexão: timed out, reconectando
Erro de conexão: timed out, reconectando
Latência uRLLC (RTT local): 0.913 ms
Latência uRLLC (RTT local): 3.407 ms
Latência uRLLC (RTT local): 3.482 ms
Latência uRLLC (RTT local): 2.679 ms
Latência uRLLC (RTT local): 1.397 ms
Latência uRLLC (RTT local): 2.107 ms
Latência uRLLC (RTT local): 1.704 ms
Latência uRLLC (RTT local): 1.427 ms
Latência uRLLC (RTT local): 1.687 ms
Latência uRLLC (RTT local): 1.913 ms
Latência uRLLC (RTT local): 1.517 ms
Latência uRLLC (RTT local): 2.094 ms
Latência uRLLC (RTT local): 0.592 ms
Latência uRLLC (RTT local): 1.296 ms
Latência uRLLC (RTT local): 2.091 ms
Latência uRLLC (RTT local): 2.635 ms
Latência uRLLC (RTT local): 1.690 ms
Latência uRLLC (RTT local): 2.791 ms
Latência uRLLC (RTT local): 2.740 ms
Latência uRLLC (RTT local): 1.926 ms
Gerador uRLLC finalizado. 21 medições salvas em /app/resultados/execucoes/reativo/rep_01/latencias_urllc_rtt.csv
