timestamp_recebimento,ip_origem,site,sequencia,latencia_ms
1784977158.428263,10.0.31.1,Reitoria,0,583.223
1784977158.996793,10.0.21.1,Laboratorios,0,1151.590
1784977213.177362,10.0.31.1,Reitoria,1,3.608
1784977213.177707,10.0.11.1,Biblioteca,0,3.757
1784977213.178272,10.0.21.1,Laboratorios,0,3.896
1784977213.278111,10.0.31.1,Reitoria,2,0.352
1784977213.278479,10.0.11.1,Biblioteca,1,0.258
1784977213.278891,10.0.21.1,Laboratorios,1,0.232
1784977213.383111,10.0.21.1,Laboratorios,2,0.317
1784977213.383708,10.0.31.1,Reitoria,3,0.268
1784977213.384208,10.0.11.1,Biblioteca,2,0.319
1784977213.485641,10.0.31.1,Reitoria,4,1.059
1784977213.486012,10.0.21.1,Laboratorios,3,0.932
1784977213.486334,10.0.11.1,Biblioteca,3,0.892
1784977213.593227,10.0.11.1,Biblioteca,4,1.395
1784977213.592965,10.0.31.1,Reitoria,5,1.125
1784977213.593469,10.0.21.1,Laboratorios,4,2.124
1784977213.696216,10.0.11.1,Biblioteca,5,1.393
1784977213.696439,10.0.21.1,Laboratorios,5,1.276
1784977213.696866,10.0.31.1,Reitoria,6,1.247
1784977213.799347,10.0.21.1,Laboratorios,6,1.274
1784977213.800707,10.0.11.1,Biblioteca,6,1.101
1784977213.801446,10.0.31.1,Reitoria,7,1.424
1784977213.902492,10.0.21.1,Laboratorios,7,1.271
1784977213.903533,10.0.11.1,Biblioteca,7,0.994
1784977213.903229,10.0.31.1,Reitoria,8,0.694
1784977214.008105,10.0.11.1,Biblioteca,8,1.609
1784977214.010020,10.0.21.1,Laboratorios,8,0.949
1784977214.010328,10.0.31.1,Reitoria,9,0.661
1784977214.112983,10.0.21.1,Laboratorios,9,1.117
1784977214.112661,10.0.11.1,Biblioteca,9,1.546
1784977214.113431,10.0.31.1,Reitoria,10,1.338
1784977214.216098,10.0.21.1,Laboratorios,10,1.243
1784977214.216425,10.0.11.1,Biblioteca,10,1.571
1784977214.219556,10.0.31.1,Reitoria,11,0.622
1784977214.321380,10.0.11.1,Biblioteca,11,1.659
1784977214.321005,10.0.21.1,Laboratorios,11,1.510
1784977214.323235,10.0.31.1,Reitoria,12,0.900
1784977214.426656,10.0.21.1,Laboratorios,12,1.323
1784977214.428774,10.0.31.1,Reitoria,13,1.038
1784977214.428524,10.0.11.1,Biblioteca,12,1.061
1784977214.530103,10.0.21.1,Laboratorios,13,0.619
1784977214.532151,10.0.11.1,Biblioteca,13,0.669
1784977214.531957,10.0.31.1,Reitoria,14,0.493
1784977214.635271,10.0.31.1,Reitoria,15,0.808
1784977214.635751,10.0.21.1,Laboratorios,14,1.070
1784977214.636212,10.0.11.1,Biblioteca,14,1.529
1784977214.738501,10.0.21.1,Laboratorios,15,0.689
1784977214.740229,10.0.11.1,Biblioteca,15,0.581
1784977214.740664,10.0.31.1,Reitoria,16,0.466
1784977214.841405,10.0.21.1,Laboratorios,16,1.048
1784977214.845073,10.0.11.1,Biblioteca,16,0.774
1784977214.845380,10.0.31.1,Reitoria,17,0.305
1784977214.943667,10.0.21.1,Laboratorios,17,0.591
1784977214.948274,10.0.11.1,Biblioteca,17,1.265
1784977214.951973,10.0.31.1,Reitoria,18,0.816
1784977215.050661,10.0.21.1,Laboratorios,18,0.913
1784977215.053468,10.0.11.1,Biblioteca,18,1.101
1784977215.057251,10.0.31.1,Reitoria,19,0.651
1784977215.153625,10.0.21.1,Laboratorios,19,0.785
1784977215.157968,10.0.11.1,Biblioteca,19,0.897
1784977215.161801,10.0.31.1,Reitoria,20,0.507
1784977215.259855,10.0.21.1,Laboratorios,20,0.833
1784977215.264786,10.0.11.1,Biblioteca,20,0.735
1784977215.266862,10.0.31.1,Reitoria,21,0.412
1784977215.363641,10.0.21.1,Laboratorios,21,0.946
1784977215.368136,10.0.11.1,Biblioteca,21,1.041
1784977215.373239,10.0.31.1,Reitoria,22,0.576
1784977215.468064,10.0.21.1,Laboratorios,22,1.154
1784977215.472963,10.0.11.1,Biblioteca,22,0.900
1784977215.478048,10.0.31.1,Reitoria,23,0.759
1784977215.569905,10.0.21.1,Laboratorios,23,0.672
1784977215.574410,10.0.11.1,Biblioteca,23,0.623
1784977215.582295,10.0.31.1,Reitoria,24,0.629
1784977215.676218,10.0.21.1,Laboratorios,24,0.771
1784977215.680844,10.0.11.1,Biblioteca,24,0.837
1784977215.686383,10.0.31.1,Reitoria,25,0.571
