Iniciando monitor/controlador uRLLC em 10.0.99.1:5000 (Central de Monitoramento do campus)
Latência medida: 583.223 ms (de 10.0.31.1 - Reitoria, seq=0)
Latência medida: 1151.590 ms (de 10.0.21.1 - Laboratorios, seq=0)
Sinal enviado: ativar
Latência medida: 3.608 ms (de 10.0.31.1 - Reitoria, seq=1)
Latência medida: 3.757 ms (de 10.0.11.1 - Biblioteca, seq=0)
Latência medida: 3.896 ms (de 10.0.21.1 - Laboratorios, seq=0)
Sinal enviado: desativar
Latência medida: 0.352 ms (de 10.0.31.1 - Reitoria, seq=2)
Latência medida: 0.258 ms (de 10.0.11.1 - Biblioteca, seq=1)
Latência medida: 0.232 ms (de 10.0.21.1 - Laboratorios, seq=1)
Latência medida: 0.317 ms (de 10.0.21.1 - Laboratorios, seq=2)
Latência medida: 0.268 ms (de 10.0.31.1 - Reitoria, seq=3)
Latência medida: 0.319 ms (de 10.0.11.1 - Biblioteca, seq=2)
Latência medida: 1.059 ms (de 10.0.31.1 - Reitoria, seq=4)
Latência medida: 0.932 ms (de 10.0.21.1 - Laboratorios, seq=3)
Latência medida: 0.892 ms (de 10.0.11.1 - Biblioteca, seq=3)
Latência medida: 1.395 ms (de 10.0.11.1 - Biblioteca, seq=4)
Latência medida: 1.125 ms (de 10.0.31.1 - Reitoria, seq=5)
Latência medida: 2.124 ms (de 10.0.21.1 - Laboratorios, seq=4)
Latência medida: 1.393 ms (de 10.0.11.1 - Biblioteca, seq=5)
Latência medida: 1.276 ms (de 10.0.21.1 - Laboratorios, seq=5)
Latência medida: 1.247 ms (de 10.0.31.1 - Reitoria, seq=6)
Latência medida: 1.274 ms (de 10.0.21.1 - Laboratorios, seq=6)
Latência medida: 1.101 ms (de 10.0.11.1 - Biblioteca, seq=6)
Latência medida: 1.424 ms (de 10.0.31.1 - Reitoria, seq=7)
Latência medida: 1.271 ms (de 10.0.21.1 - Laboratorios, seq=7)
Latência medida: 0.994 ms (de 10.0.11.1 - Biblioteca, seq=7)
Latência medida: 0.694 ms (de 10.0.31.1 - Reitoria, seq=8)
Latência medida: 1.609 ms (de 10.0.11.1 - Biblioteca, seq=8)
Latência medida: 0.949 ms (de 10.0.21.1 - Laboratorios, seq=8)
Latência medida: 0.661 ms (de 10.0.31.1 - Reitoria, seq=9)
Latência medida: 1.117 ms (de 10.0.21.1 - Laboratorios, seq=9)
Latência medida: 1.546 ms (de 10.0.11.1 - Biblioteca, seq=9)
Latência medida: 1.338 ms (de 10.0.31.1 - Reitoria, seq=10)
Latência medida: 1.243 ms (de 10.0.21.1 - Laboratorios, seq=10)
Latência medida: 1.571 ms (de 10.0.11.1 - Biblioteca, seq=10)
Latência medida: 0.622 ms (de 10.0.31.1 - Reitoria, seq=11)
Latência medida: 1.659 ms (de 10.0.11.1 - Biblioteca, seq=11)
Latência medida: 1.510 ms (de 10.0.21.1 - Laboratorios, seq=11)
Latência medida: 0.900 ms (de 10.0.31.1 - Reitoria, seq=12)
Latência medida: 1.323 ms (de 10.0.21.1 - Laboratorios, seq=12)
Latência medida: 1.038 ms (de 10.0.31.1 - Reitoria, seq=13)
Latência medida: 1.061 ms (de 10.0.11.1 - Biblioteca, seq=12)
Latência medida: 0.619 ms (de 10.0.21.1 - Laboratorios, seq=13)
Latência medida: 0.669 ms (de 10.0.11.1 - Biblioteca, seq=13)
Latência medida: 0.493 ms (de 10.0.31.1 - Reitoria, seq=14)
Latência medida: 0.808 ms (de 10.0.31.1 - Reitoria, seq=15)
Latência medida: 1.070 ms (de 10.0.21.1 - Laboratorios, seq=14)
Latência medida: 1.529 ms (de 10.0.11.1 - Biblioteca, seq=14)
Latência medida: 0.689 ms (de 10.0.21.1 - Laboratorios, seq=15)
Latência medida: 0.581 ms (de 10.0.11.1 - Biblioteca, seq=15)
Latência medida: 0.466 ms (de 10.0.31.1 - Reitoria, seq=16)
Latência medida: 1.048 ms (de 10.0.21.1 - Laboratorios, seq=16)
Latência medida: 0.774 ms (de 10.0.11.1 - Biblioteca, seq=16)
Latência medida: 0.305 ms (de 10.0.31.1 - Reitoria, seq=17)
Latência medida: 0.591 ms (de 10.0.21.1 - Laboratorios, seq=17)
