Iniciando monitor/controlador uRLLC em 10.0.99.1:5000 (Central de Monitoramento do campus)
Latência medida: 55.586 ms (de 10.0.11.1 - Biblioteca, seq=0)
Latência medida: 311.795 ms (de 10.0.31.1 - Reitoria, seq=0)
Sinal enviado: ativar
Latência medida: 319.881 ms (de 10.0.21.1 - Laboratorios, seq=0)
Latência medida: 1.593 ms (de 10.0.21.1 - Laboratorios, seq=0)
Latência medida: 2.529 ms (de 10.0.31.1 - Reitoria, seq=0)
Latência medida: 3.462 ms (de 10.0.11.1 - Biblioteca, seq=0)
Sinal enviado: desativar
Latência medida: 0.340 ms (de 10.0.31.1 - Reitoria, seq=1)
Latência medida: 0.479 ms (de 10.0.21.1 - Laboratorios, seq=1)
Latência medida: 0.315 ms (de 10.0.11.1 - Biblioteca, seq=1)
Latência medida: 0.345 ms (de 10.0.31.1 - Reitoria, seq=2)
Latência medida: 0.495 ms (de 10.0.21.1 - Laboratorios, seq=2)
Latência medida: 0.367 ms (de 10.0.11.1 - Biblioteca, seq=2)
Latência medida: 0.947 ms (de 10.0.21.1 - Laboratorios, seq=3)
Latência medida: 0.560 ms (de 10.0.31.1 - Reitoria, seq=3)
Latência medida: 0.805 ms (de 10.0.11.1 - Biblioteca, seq=3)
Latência medida: 1.424 ms (de 10.0.21.1 - Laboratorios, seq=4)
Latência medida: 1.280 ms (de 10.0.11.1 - Biblioteca, seq=4)
Latência medida: 0.602 ms (de 10.0.31.1 - Reitoria, seq=4)
Latência medida: 0.974 ms (de 10.0.21.1 - Laboratorios, seq=5)
Latência medida: 1.057 ms (de 10.0.11.1 - Biblioteca, seq=5)
Latência medida: 0.621 ms (de 10.0.31.1 - Reitoria, seq=5)
Latência medida: 1.421 ms (de 10.0.21.1 - Laboratorios, seq=6)
Latência medida: 1.146 ms (de 10.0.11.1 - Biblioteca, seq=6)
Latência medida: 0.973 ms (de 10.0.31.1 - Reitoria, seq=6)
Latência medida: 1.308 ms (de 10.0.21.1 - Laboratorios, seq=7)
Latência medida: 1.142 ms (de 10.0.11.1 - Biblioteca, seq=7)
Latência medida: 0.772 ms (de 10.0.31.1 - Reitoria, seq=7)
Latência medida: 1.424 ms (de 10.0.21.1 - Laboratorios, seq=8)
Latência medida: 0.907 ms (de 10.0.11.1 - Biblioteca, seq=8)
Latência medida: 1.268 ms (de 10.0.31.1 - Reitoria, seq=8)
Latência medida: 1.177 ms (de 10.0.21.1 - Laboratorios, seq=9)
Latência medida: 1.391 ms (de 10.0.11.1 - Biblioteca, seq=9)
Latência medida: 0.821 ms (de 10.0.31.1 - Reitoria, seq=9)
Latência medida: 1.736 ms (de 10.0.21.1 - Laboratorios, seq=10)
Latência medida: 1.444 ms (de 10.0.11.1 - Biblioteca, seq=10)
Latência medida: 0.730 ms (de 10.0.31.1 - Reitoria, seq=10)
Latência medida: 1.566 ms (de 10.0.21.1 - Laboratorios, seq=11)
Latência medida: 1.048 ms (de 10.0.11.1 - Biblioteca, seq=11)
Latência medida: 0.898 ms (de 10.0.31.1 - Reitoria, seq=11)
Latência medida: 1.462 ms (de 10.0.21.1 - Laboratorios, seq=12)
Latência medida: 1.857 ms (de 10.0.11.1 - Biblioteca, seq=12)
Latência medida: 1.242 ms (de 10.0.31.1 - Reitoria, seq=12)
Latência medida: 0.576 ms (de 10.0.21.1 - Laboratorios, seq=13)
Latência medida: 0.633 ms (de 10.0.31.1 - Reitoria, seq=13)
Latência medida: 0.718 ms (de 10.0.11.1 - Biblioteca, seq=13)
Latência medida: 0.736 ms (de 10.0.21.1 - Laboratorios, seq=14)
Latência medida: 1.203 ms (de 10.0.11.1 - Biblioteca, seq=14)
Latência medida: 0.540 ms (de 10.0.31.1 - Reitoria, seq=14)
Latência medida: 0.702 ms (de 10.0.21.1 - Laboratorios, seq=15)
Latência medida: 0.800 ms (de 10.0.11.1 - Biblioteca, seq=15)
Latência medida: 0.749 ms (de 10.0.31.1 - Reitoria, seq=15)
Latência medida: 0.834 ms (de 10.0.21.1 - Laboratorios, seq=16)
Latência medida: 1.422 ms (de 10.0.11.1 - Biblioteca, seq=16)
Latência medida: 0.712 ms (de 10.0.31.1 - Reitoria, seq=16)
Latência medida: 0.667 ms (de 10.0.21.1 - Laboratorios, seq=17)
Latência medida: 0.712 ms (de 10.0.11.1 - Biblioteca, seq=17)
Latência medida: 0.454 ms (de 10.0.31.1 - Reitoria, seq=17)
