Iniciando gerador uRLLC (Scapy/TCP) para 10.0.99.1:5000
Erro de conexão: timed out, reconectando
Erro de conexão: timed out, reconectando
Erro de conexão: timed out, reconectando
Erro de conexão: timed out, reconectando
Erro de conexão: timed out, reconectando
Erro de conexão: timed out, reconectando
Erro de conexão: timed out, reconectando
Erro de conexão: timed out, reconectando
Erro de conexão: timed out, reconectando
Erro de conexão: timed out, reconectando
Erro de conexão: timed out, reconectando
Latência uRLLC (RTT local): 4.021 ms
Latência uRLLC (RTT local): 0.786 ms
Latência uRLLC (RTT local): 0.552 ms
Latência uRLLC (RTT local): 0.599 ms
Latência uRLLC (RTT local): 1.695 ms
Latência uRLLC (RTT local): 2.654 ms
Latência uRLLC (RTT local): 2.314 ms
Latência uRLLC (RTT local): 1.843 ms
Latência uRLLC (RTT local): 2.822 ms
Latência uRLLC (RTT local): 1.989 ms
Latência uRLLC (RTT local): 2.372 ms
Latência uRLLC (RTT local): 2.283 ms
Latência uRLLC (RTT local): 2.791 ms
Latência uRLLC (RTT local): 1.210 ms
Latência uRLLC (RTT local): 1.568 ms
Latência uRLLC (RTT local): 1.261 ms
Latência uRLLC (RTT local): 2.044 ms
Latência uRLLC (RTT local): 1.399 ms
Latência uRLLC (RTT local): 1.676 ms
Latência uRLLC (RTT local): 1.210 ms
Latência uRLLC (RTT local): 0.924 ms
Latência uRLLC (RTT local): 2.343 ms
Latência uRLLC (RTT local): 1.738 ms
Latência uRLLC (RTT local): 1.218 ms
Latência uRLLC (RTT local): 1.367 ms
Gerador uRLLC finalizado. 25 medições salvas; tentativas=36, falhas=11
