Iniciando gerador uRLLC (Scapy/TCP) para 10.0.99.1:5000
Latência uRLLC (RTT local): 56.218 ms
Erro de conexão: timed out, reconectando
Erro de conexão: timed out, reconectando
Erro de conexão: timed out, reconectando
Erro de conexão: timed out, reconectando
Erro de conexão: timed out, reconectando
Erro de conexão: timed out, reconectando
Erro de conexão: timed out, reconectando
Erro de conexão: timed out, reconectando
Erro de conexão: timed out, reconectando
Erro de conexão: timed out, reconectando
Erro de conexão: timed out, reconectando
Latência uRLLC (RTT local): 2.910 ms
Latência uRLLC (RTT local): 0.598 ms
Latência uRLLC (RTT local): 0.896 ms
Latência uRLLC (RTT local): 2.608 ms
Latência uRLLC (RTT local): 0.592 ms
Latência uRLLC (RTT local): 0.513 ms
Latência uRLLC (RTT local): 1.684 ms
Latência uRLLC (RTT local): 1.383 ms
Latência uRLLC (RTT local): 1.425 ms
Latência uRLLC (RTT local): 2.192 ms
Latência uRLLC (RTT local): 1.446 ms
Latência uRLLC (RTT local): 1.720 ms
Latência uRLLC (RTT local): 1.105 ms
Latência uRLLC (RTT local): 1.584 ms
Latência uRLLC (RTT local): 1.540 ms
Latência uRLLC (RTT local): 1.277 ms
Latência uRLLC (RTT local): 1.193 ms
Latência uRLLC (RTT local): 1.637 ms
Latência uRLLC (RTT local): 1.988 ms
Latência uRLLC (RTT local): 1.095 ms
Latência uRLLC (RTT local): 1.763 ms
Latência uRLLC (RTT local): 2.642 ms
Latência uRLLC (RTT local): 1.706 ms
Latência uRLLC (RTT local): 1.091 ms
Latência uRLLC (RTT local): 1.218 ms
Gerador uRLLC finalizado. 26 medições salvas; tentativas=37, falhas=11
