Iniciando gerador uRLLC (Scapy/TCP) para 10.0.99.1:5000
Erro de conexão: timed out, reconectando
Latência uRLLC (RTT local): 1663.847 ms
Latência uRLLC (RTT local): 1622.723 ms
Latência uRLLC (RTT local): 489.486 ms
Latência uRLLC (RTT local): 478.314 ms
Latência uRLLC (RTT local): 817.765 ms
Latência uRLLC (RTT local): 810.245 ms
Latência uRLLC (RTT local): 460.868 ms
Latência uRLLC (RTT local): 1139.555 ms
Falha ao medir latência, reconectando
Latência uRLLC (RTT local): 494.320 ms
Latência uRLLC (RTT local): 1261.525 ms
Latência uRLLC (RTT local): 843.746 ms
Falha ao medir latência, reconectando
Latência uRLLC (RTT local): 124.815 ms
Latência uRLLC (RTT local): 123.228 ms
Latência uRLLC (RTT local): 864.480 ms
Latência uRLLC (RTT local): 1555.280 ms
Latência uRLLC (RTT local): 124.764 ms
Latência uRLLC (RTT local): 124.025 ms
Latência uRLLC (RTT local): 124.030 ms
Latência uRLLC (RTT local): 457.702 ms
Falha ao medir latência, reconectando
Latência uRLLC (RTT local): 122.978 ms
Latência uRLLC (RTT local): 124.805 ms
Latência uRLLC (RTT local): 1600.662 ms
Latência uRLLC (RTT local): 828.071 ms
Falha ao medir latência, reconectando
Latência uRLLC (RTT local): 878.492 ms
Latência uRLLC (RTT local): 123.372 ms
Latência uRLLC (RTT local): 123.980 ms
Latência uRLLC (RTT local): 124.013 ms
Latência uRLLC (RTT local): 123.757 ms
Latência uRLLC (RTT local): 124.235 ms
Latência uRLLC (RTT local): 457.904 ms
Latência uRLLC (RTT local): 123.749 ms
Latência uRLLC (RTT local): 459.648 ms
Falha ao medir latência, reconectando
Latência uRLLC (RTT local): 123.380 ms
Latência uRLLC (RTT local): 123.784 ms
Latência uRLLC (RTT local): 481.793 ms
Latência uRLLC (RTT local): 122.862 ms
Falha ao medir latência, reconectando
Latência uRLLC (RTT local): 872.468 ms
Latência uRLLC (RTT local): 125.149 ms
Latência uRLLC (RTT local): 1618.992 ms
Latência uRLLC (RTT local): 475.430 ms
Falha ao medir latência, reconectando
Latência uRLLC (RTT local): 872.019 ms
Latência uRLLC (RTT local): 1666.951 ms
Latência uRLLC (RTT local): 123.900 ms
Latência uRLLC (RTT local): 123.827 ms
Latência uRLLC (RTT local): 468.019 ms
Latência uRLLC (RTT local): 354.069 ms
Latência uRLLC (RTT local): 7.953 ms
Latência uRLLC (RTT local): 7.893 ms
Latência uRLLC (RTT local): 7.953 ms
Latência uRLLC (RTT local): 7.815 ms
Latência uRLLC (RTT local): 7.977 ms
Latência uRLLC (RTT local): 8.035 ms
Latência uRLLC (RTT local): 8.152 ms
Latência uRLLC (RTT local): 7.825 ms
Latência uRLLC (RTT local): 7.478 ms
Latência uRLLC (RTT local): 8.375 ms
Latência uRLLC (RTT local): 7.897 ms
Latência uRLLC (RTT local): 7.663 ms
Latência uRLLC (RTT local): 8.052 ms
Latência uRLLC (RTT local): 7.922 ms
Latência uRLLC (RTT local): 7.100 ms
Latência uRLLC (RTT local): 7.410 ms
Latência uRLLC (RTT local): 7.081 ms
Latência uRLLC (RTT local): 8.039 ms
Latência uRLLC (RTT local): 7.619 ms
Latência uRLLC (RTT local): 7.494 ms
Latência uRLLC (RTT local): 8.021 ms
Latência uRLLC (RTT local): 7.825 ms
Latência uRLLC (RTT local): 8.196 ms
Latência uRLLC (RTT local): 7.924 ms
Latência uRLLC (RTT local): 7.755 ms
Gerador uRLLC finalizado. 71 medições salvas; tentativas=79, falhas=8
