Iniciando gerador uRLLC (Scapy/TCP) para 10.0.99.1:5000
Erro de conexão: timed out, reconectando
Latência uRLLC (RTT local): 122.112 ms
Latência uRLLC (RTT local): 861.139 ms
Latência uRLLC (RTT local): 476.214 ms
Latência uRLLC (RTT local): 469.638 ms
Falha ao medir latência, reconectando
Falha ao medir latência, reconectando
Latência uRLLC (RTT local): 489.771 ms
Latência uRLLC (RTT local): 120.370 ms
Latência uRLLC (RTT local): 1575.282 ms
Latência uRLLC (RTT local): 121.594 ms
Latência uRLLC (RTT local): 460.339 ms
Falha ao medir latência, reconectando
Latência uRLLC (RTT local): 1603.909 ms
Latência uRLLC (RTT local): 484.976 ms
Falha ao medir latência, reconectando
Latência uRLLC (RTT local): 1610.347 ms
Falha ao medir latência, reconectando
Latência uRLLC (RTT local): 851.238 ms
Latência uRLLC (RTT local): 120.867 ms
Latência uRLLC (RTT local): 121.168 ms
Latência uRLLC (RTT local): 465.002 ms
Latência uRLLC (RTT local): 121.430 ms
Latência uRLLC (RTT local): 462.416 ms
Latência uRLLC (RTT local): 1179.386 ms
Latência uRLLC (RTT local): 121.683 ms
Latência uRLLC (RTT local): 453.961 ms
Latência uRLLC (RTT local): 122.334 ms
Latência uRLLC (RTT local): 453.541 ms
Latência uRLLC (RTT local): 454.226 ms
Latência uRLLC (RTT local): 122.157 ms
Latência uRLLC (RTT local): 1476.871 ms
Latência uRLLC (RTT local): 772.941 ms
Latência uRLLC (RTT local): 771.744 ms
Latência uRLLC (RTT local): 444.697 ms
Latência uRLLC (RTT local): 1121.906 ms
Latência uRLLC (RTT local): 121.876 ms
Latência uRLLC (RTT local): 121.481 ms
Latência uRLLC (RTT local): 447.679 ms
Latência uRLLC (RTT local): 1149.065 ms
Latência uRLLC (RTT local): 121.703 ms
Latência uRLLC (RTT local): 121.584 ms
Latência uRLLC (RTT local): 771.937 ms
Latência uRLLC (RTT local): 445.018 ms
Latência uRLLC (RTT local): 121.374 ms
Latência uRLLC (RTT local): 121.664 ms
Latência uRLLC (RTT local): 771.508 ms
Latência uRLLC (RTT local): 121.373 ms
Latência uRLLC (RTT local): 121.887 ms
Latência uRLLC (RTT local): 774.730 ms
Latência uRLLC (RTT local): 1476.948 ms
Latência uRLLC (RTT local): 120.317 ms
Latência uRLLC (RTT local): 446.056 ms
Latência uRLLC (RTT local): 121.572 ms
Latência uRLLC (RTT local): 1470.687 ms
Latência uRLLC (RTT local): 121.519 ms
Latência uRLLC (RTT local): 446.074 ms
Latência uRLLC (RTT local): 445.644 ms
Latência uRLLC (RTT local): 121.564 ms
Latência uRLLC (RTT local): 120.939 ms
Latência uRLLC (RTT local): 446.879 ms
Latência uRLLC (RTT local): 445.561 ms
Latência uRLLC (RTT local): 121.130 ms
Falha ao medir latência, reconectando
Latência uRLLC (RTT local): 483.377 ms
Latência uRLLC (RTT local): 120.728 ms
Latência uRLLC (RTT local): 121.033 ms
Latência uRLLC (RTT local): 465.291 ms
Latência uRLLC (RTT local): 48.157 ms
Latência uRLLC (RTT local): 5.421 ms
Latência uRLLC (RTT local): 5.291 ms
Latência uRLLC (RTT local): 5.649 ms
Latência uRLLC (RTT local): 5.819 ms
Latência uRLLC (RTT local): 6.502 ms
Latência uRLLC (RTT local): 5.677 ms
Latência uRLLC (RTT local): 5.940 ms
Latência uRLLC (RTT local): 6.223 ms
Latência uRLLC (RTT local): 6.653 ms
Latência uRLLC (RTT local): 5.975 ms
Latência uRLLC (RTT local): 6.047 ms
Latência uRLLC (RTT local): 6.413 ms
Latência uRLLC (RTT local): 6.275 ms
Latência uRLLC (RTT local): 6.206 ms
Latência uRLLC (RTT local): 5.829 ms
Latência uRLLC (RTT local): 6.356 ms
Latência uRLLC (RTT local): 6.274 ms
Latência uRLLC (RTT local): 6.574 ms
Latência uRLLC (RTT local): 5.720 ms
Latência uRLLC (RTT local): 5.765 ms
Latência uRLLC (RTT local): 5.633 ms
Latência uRLLC (RTT local): 6.039 ms
Latência uRLLC (RTT local): 6.237 ms
Latência uRLLC (RTT local): 5.906 ms
Latência uRLLC (RTT local): 5.872 ms
Latência uRLLC (RTT local): 6.227 ms
Latência uRLLC (RTT local): 6.093 ms
Latência uRLLC (RTT local): 6.726 ms
Gerador uRLLC finalizado. 90 medições salvas; tentativas=97, falhas=7
