Iniciando monitor/controlador uRLLC em 10.0.99.1:5000 (Central de Monitoramento do campus)
Latência medida: 322.242 ms (de 10.0.31.1 - Reitoria, seq=0)
Latência medida: 323.833 ms (de 10.0.31.1 - Reitoria, seq=1)
Sinal enviado: ativar
Latência medida: 59.907 ms (de 10.0.31.1 - Reitoria, seq=2)
Latência medida: 871.326 ms (de 10.0.11.1 - Biblioteca, seq=0)
Latência medida: 59.136 ms (de 10.0.31.1 - Reitoria, seq=3)
Latência medida: 59.464 ms (de 10.0.31.1 - Reitoria, seq=4)
Latência medida: 585.007 ms (de 10.0.31.1 - Reitoria, seq=5)
Latência medida: 868.380 ms (de 10.0.11.1 - Biblioteca, seq=1)
Latência medida: 59.983 ms (de 10.0.31.1 - Reitoria, seq=6)
Latência medida: 321.167 ms (de 10.0.31.1 - Reitoria, seq=7)
Latência medida: 882.738 ms (de 10.0.31.1 - Reitoria, seq=8)
Latência medida: 1665.186 ms (de 10.0.11.1 - Biblioteca, seq=2)
Latência medida: 322.225 ms (de 10.0.31.1 - Reitoria, seq=9)
Latência medida: 119.731 ms (de 10.0.11.1 - Biblioteca, seq=3)
Latência medida: 120.396 ms (de 10.0.11.1 - Biblioteca, seq=4)
Latência medida: 839.145 ms (de 10.0.21.1 - Laboratorios, seq=0)
Latência medida: 1557.760 ms (de 10.0.11.1 - Biblioteca, seq=5)
Latência medida: 119.941 ms (de 10.0.11.1 - Biblioteca, seq=6)
Latência medida: 326.501 ms (de 10.0.31.1 - Reitoria, seq=10)
Latência medida: 792.063 ms (de 10.0.11.1 - Biblioteca, seq=7)
Latência medida: 120.266 ms (de 10.0.11.1 - Biblioteca, seq=8)
Latência medida: 456.172 ms (de 10.0.11.1 - Biblioteca, seq=9)
Latência medida: 324.962 ms (de 10.0.31.1 - Reitoria, seq=11)
Latência medida: 60.010 ms (de 10.0.31.1 - Reitoria, seq=12)
Latência medida: 329.054 ms (de 10.0.31.1 - Reitoria, seq=13)
Latência medida: 874.241 ms (de 10.0.31.1 - Reitoria, seq=14)
Latência medida: 3070.220 ms (de 10.0.21.1 - Laboratorios, seq=1)
Latência medida: 498.068 ms (de 10.0.11.1 - Biblioteca, seq=10)
Latência medida: 1626.235 ms (de 10.0.21.1 - Laboratorios, seq=2)
Latência medida: 119.364 ms (de 10.0.21.1 - Laboratorios, seq=3)
Latência medida: 119.079 ms (de 10.0.21.1 - Laboratorios, seq=4)
Latência medida: 118.834 ms (de 10.0.21.1 - Laboratorios, seq=5)
Latência medida: 791.930 ms (de 10.0.21.1 - Laboratorios, seq=6)
Latência medida: 119.270 ms (de 10.0.21.1 - Laboratorios, seq=7)
Latência medida: 450.400 ms (de 10.0.21.1 - Laboratorios, seq=8)
Latência medida: 119.254 ms (de 10.0.21.1 - Laboratorios, seq=9)
Latência medida: 1660.804 ms (de 10.0.11.1 - Biblioteca, seq=11)
Latência medida: 872.806 ms (de 10.0.11.1 - Biblioteca, seq=12)
Latência medida: 119.580 ms (de 10.0.11.1 - Biblioteca, seq=13)
Latência medida: 120.370 ms (de 10.0.11.1 - Biblioteca, seq=14)
Latência medida: 463.383 ms (de 10.0.11.1 - Biblioteca, seq=15)
Latência medida: 328.583 ms (de 10.0.31.1 - Reitoria, seq=15)
Latência medida: 869.623 ms (de 10.0.11.1 - Biblioteca, seq=16)
Latência medida: 120.533 ms (de 10.0.11.1 - Biblioteca, seq=17)
Latência medida: 1560.915 ms (de 10.0.11.1 - Biblioteca, seq=18)
Latência medida: 823.357 ms (de 10.0.11.1 - Biblioteca, seq=19)
Latência medida: 120.445 ms (de 10.0.11.1 - Biblioteca, seq=20)
Latência medida: 808.079 ms (de 10.0.11.1 - Biblioteca, seq=21)
Latência medida: 326.699 ms (de 10.0.31.1 - Reitoria, seq=16)
Latência medida: 853.945 ms (de 10.0.21.1 - Laboratorios, seq=10)
Latência medida: 485.019 ms (de 10.0.21.1 - Laboratorios, seq=11)
Latência medida: 8978.617 ms (de 10.0.31.1 - Reitoria, seq=16)
Latência medida: 1173.634 ms (de 10.0.31.1 - Reitoria, seq=17)
Latência medida: 1199.606 ms (de 10.0.21.1 - Laboratorios, seq=12)
Latência medida: 329.416 ms (de 10.0.31.1 - Reitoria, seq=18)
Latência medida: 558.337 ms (de 10.0.11.1 - Biblioteca, seq=22)
Latência medida: 119.823 ms (de 10.0.11.1 - Biblioteca, seq=23)
Latência medida: 120.542 ms (de 10.0.11.1 - Biblioteca, seq=24)
Latência medida: 119.667 ms (de 10.0.21.1 - Laboratorios, seq=13)
Latência medida: 119.186 ms (de 10.0.21.1 - Laboratorios, seq=14)
Latência medida: 119.518 ms (de 10.0.21.1 - Laboratorios, seq=15)
Latência medida: 1668.288 ms (de 10.0.11.1 - Biblioteca, seq=25)
Latência medida: 120.670 ms (de 10.0.11.1 - Biblioteca, seq=26)
Latência medida: 590.344 ms (de 10.0.31.1 - Reitoria, seq=19)
Latência medida: 480.066 ms (de 10.0.11.1 - Biblioteca, seq=27)
Latência medida: 120.473 ms (de 10.0.11.1 - Biblioteca, seq=28)
Latência medida: 1162.610 ms (de 10.0.31.1 - Reitoria, seq=20)
Latência medida: 1641.749 ms (de 10.0.21.1 - Laboratorios, seq=16)
Latência medida: 119.277 ms (de 10.0.21.1 - Laboratorios, seq=17)
Latência medida: 119.091 ms (de 10.0.21.1 - Laboratorios, seq=18)
Latência medida: 1552.413 ms (de 10.0.11.1 - Biblioteca, seq=29)
Latência medida: 464.555 ms (de 10.0.11.1 - Biblioteca, seq=30)
Latência medida: 60.041 ms (de 10.0.31.1 - Reitoria, seq=21)
Latência medida: 59.890 ms (de 10.0.31.1 - Reitoria, seq=22)
Latência medida: 872.663 ms (de 10.0.11.1 - Biblioteca, seq=31)
Latência medida: 1661.369 ms (de 10.0.11.1 - Biblioteca, seq=32)
Latência medida: 856.469 ms (de 10.0.21.1 - Laboratorios, seq=19)
Latência medida: 118.431 ms (de 10.0.21.1 - Laboratorios, seq=20)
Latência medida: 119.237 ms (de 10.0.21.1 - Laboratorios, seq=21)
Latência medida: 840.577 ms (de 10.0.11.1 - Biblioteca, seq=33)
Latência medida: 822.007 ms (de 10.0.21.1 - Laboratorios, seq=22)
Latência medida: 1577.506 ms (de 10.0.11.1 - Biblioteca, seq=34)
Latência medida: 1537.888 ms (de 10.0.21.1 - Laboratorios, seq=23)
Latência medida: 813.714 ms (de 10.0.11.1 - Biblioteca, seq=35)
