timestamp_recebimento,ip_origem,site,sequencia,latencia_ms
1784976631.940703,10.0.21.1,Laboratorios,0,119.402
1784976632.162852,10.0.21.1,Laboratorios,1,119.390
1784976632.384620,10.0.21.1,Laboratorios,2,119.190
1784976632.606325,10.0.21.1,Laboratorios,3,119.217
1784976632.829376,10.0.21.1,Laboratorios,4,119.393
1784976634.443319,10.0.21.1,Laboratorios,5,1511.424
1784976638.032013,10.0.31.1,Reitoria,0,1168.812
1784976639.484742,10.0.11.1,Biblioteca,0,492.917
1784976640.086537,10.0.11.1,Biblioteca,1,498.187
1784976641.036663,10.0.11.1,Biblioteca,2,846.544
1784976641.260712,10.0.11.1,Biblioteca,3,120.342
1784976641.484862,10.0.11.1,Biblioteca,4,120.270
1784976641.708414,10.0.11.1,Biblioteca,5,119.972
1784976641.932047,10.0.11.1,Biblioteca,6,120.195
1784976642.155480,10.0.11.1,Biblioteca,7,119.900
1784976642.716411,10.0.11.1,Biblioteca,8,457.420
1784976642.939994,10.0.11.1,Biblioteca,9,120.023
1784976643.163544,10.0.11.1,Biblioteca,10,119.961
1784976643.387691,10.0.11.1,Biblioteca,11,120.368
1784976645.888660,10.0.31.1,Reitoria,1,593.237
1784976646.109453,10.0.11.1,Biblioteca,12,491.739
1784976646.576656,10.0.31.1,Reitoria,2,586.477
1784976646.738138,10.0.31.1,Reitoria,3,59.927
1784976646.899204,10.0.31.1,Reitoria,4,59.754
1784976647.060676,10.0.31.1,Reitoria,5,59.881
1784976647.500015,10.0.11.1,Biblioteca,13,1286.896
1784976647.724216,10.0.11.1,Biblioteca,14,120.597
1784976647.948228,10.0.11.1,Biblioteca,15,120.449
1784976648.172348,10.0.11.1,Biblioteca,16,120.517
1784976648.395960,10.0.11.1,Biblioteca,17,119.896
1784976648.620114,10.0.11.1,Biblioteca,18,120.427
1784976648.844190,10.0.11.1,Biblioteca,19,120.325
1784976649.068338,10.0.11.1,Biblioteca,20,120.309
1784976649.621025,10.0.11.1,Biblioteca,21,449.003
1784976650.384672,10.0.31.1,Reitoria,6,1161.402
1784976651.600498,10.0.31.1,Reitoria,7,1114.370
1784976652.717347,10.0.11.1,Biblioteca,22,868.482
1784976652.816657,10.0.31.1,Reitoria,8,1114.806
1784976652.941801,10.0.11.1,Biblioteca,23,120.661
1784976653.165907,10.0.11.1,Biblioteca,24,120.533
1784976653.260206,10.0.21.1,Laboratorios,6,1621.836
1784976653.389521,10.0.11.1,Biblioteca,25,120.011
1784976653.504558,10.0.31.1,Reitoria,9,586.514
1784976653.852074,10.0.21.1,Laboratorios,7,489.336
1784976654.076254,10.0.21.1,Laboratorios,8,119.314
1784976654.298012,10.0.21.1,Laboratorios,9,119.214
1784976654.315880,10.0.11.1,Biblioteca,26,822.865
1784976654.540018,10.0.11.1,Biblioteca,27,120.527
1784976654.764203,10.0.11.1,Biblioteca,28,120.509
1784976654.988309,10.0.11.1,Biblioteca,29,120.437
1784976655.212489,10.0.11.1,Biblioteca,30,120.600
1784976655.436128,10.0.11.1,Biblioteca,31,120.146
1784976655.660195,10.0.11.1,Biblioteca,32,120.207
1784976655.884305,10.0.11.1,Biblioteca,33,120.552
1784976655.948090,10.0.21.1,Laboratorios,10,1546.305
1784976656.107316,10.0.11.1,Biblioteca,34,119.296
1784976656.169940,10.0.21.1,Laboratorios,11,119.380
1784976656.331620,10.0.11.1,Biblioteca,35,119.985
1784976656.391836,10.0.21.1,Laboratorios,12,119.017
1784976656.554625,10.0.11.1,Biblioteca,36,119.530
1784976657.108987,10.0.11.1,Biblioteca,37,450.863
1784976657.332990,10.0.11.1,Biblioteca,38,120.457
1784976657.884955,10.0.11.1,Biblioteca,39,448.346
1784976658.109060,10.0.11.1,Biblioteca,40,120.511
1784976658.333195,10.0.11.1,Biblioteca,41,120.512
1784976658.556221,10.0.11.1,Biblioteca,42,119.350
1784976658.780272,10.0.11.1,Biblioteca,43,119.928
1784976659.004399,10.0.11.1,Biblioteca,44,120.389
1784976659.228544,10.0.11.1,Biblioteca,45,120.492
1784976659.781061,10.0.11.1,Biblioteca,46,448.863
1784976660.005248,10.0.11.1,Biblioteca,47,120.458
1784976660.148484,10.0.21.1,Laboratorios,13,486.288
1784976660.228854,10.0.11.1,Biblioteca,48,119.864
1784976660.370187,10.0.21.1,Laboratorios,14,119.165
1784976660.452426,10.0.11.1,Biblioteca,49,120.051
1784976660.592018,10.0.21.1,Laboratorios,15,119.330
1784976660.676644,10.0.11.1,Biblioteca,50,120.535
1784976660.900847,10.0.11.1,Biblioteca,51,120.589
1784976661.124871,10.0.11.1,Biblioteca,52,120.510
1784976661.348459,10.0.11.1,Biblioteca,53,120.116
1784976661.515967,10.0.21.1,Laboratorios,16,821.335
1784976661.901034,10.0.11.1,Biblioteca,54,449.112
1784976662.082994,10.0.21.1,Laboratorios,17,464.400
1784976662.124037,10.0.11.1,Biblioteca,55,119.156
1784976662.348099,10.0.11.1,Biblioteca,56,120.470
1784976662.572366,10.0.11.1,Biblioteca,57,120.579
1784976662.796393,10.0.11.1,Biblioteca,58,120.003
1784976663.020594,10.0.11.1,Biblioteca,59,120.489
1784976663.573071,10.0.11.1,Biblioteca,60,448.901
1784976667.430627,10.0.11.1,Biblioteca,61,1630.922
1784976668.405030,10.0.11.1,Biblioteca,62,869.787
1784976668.989193,10.0.11.1,Biblioteca,63,479.998
1784976670.164865,10.0.21.1,Laboratorios,18,119.752
1784976670.285412,10.0.31.1,Reitoria,10,60.188
1784976670.386430,10.0.21.1,Laboratorios,19,118.946
1784976670.446698,10.0.31.1,Reitoria,11,59.917
1784976670.608821,10.0.21.1,Laboratorios,20,119.564
1784976671.532108,10.0.21.1,Laboratorios,21,820.755
1784976671.695494,10.0.31.1,Reitoria,12,1146.833
1784976671.706550,10.0.11.1,Biblioteca,64,490.600
1784976671.751635,10.0.21.1,Laboratorios,22,116.812
1784976671.858301,10.0.31.1,Reitoria,13,59.266
1784976671.930689,10.0.11.1,Biblioteca,65,120.216
1784976671.972817,10.0.21.1,Laboratorios,23,118.489
1784976672.155230,10.0.11.1,Biblioteca,66,120.586
1784976672.193423,10.0.21.1,Laboratorios,24,118.095
1784976672.415252,10.0.21.1,Laboratorios,25,119.273
1784976672.552246,10.0.31.1,Reitoria,14,592.360
1784976672.971906,10.0.21.1,Laboratorios,26,452.877
1784976673.196536,10.0.21.1,Laboratorios,27,121.861
1784976673.240909,10.0.31.1,Reitoria,15,587.136
1784976673.418911,10.0.21.1,Laboratorios,28,119.381
1784976673.641334,10.0.21.1,Laboratorios,29,119.550
1784976673.804132,10.0.11.1,Biblioteca,67,1545.038
1784976674.027647,10.0.11.1,Biblioteca,68,119.940
1784976674.252282,10.0.11.1,Biblioteca,69,120.445
1784976674.516604,10.0.21.1,Laboratorios,30,772.695
1784976674.813306,10.0.11.1,Biblioteca,70,457.342
1784976675.036374,10.0.11.1,Biblioteca,71,119.375
1784976675.261042,10.0.11.1,Biblioteca,72,120.631
1784976675.396307,10.0.21.1,Laboratorios,31,777.098
1784976675.485195,10.0.11.1,Biblioteca,73,120.589
1784976675.618209,10.0.21.1,Laboratorios,32,119.411
1784976676.037067,10.0.11.1,Biblioteca,74,448.112
1784976676.161639,10.0.21.1,Laboratorios,33,440.664
1784976676.383299,10.0.21.1,Laboratorios,34,118.825
1784976680.847083,10.0.31.1,Reitoria,16,1169.600
1784976681.270384,10.0.31.1,Reitoria,17,321.883
1784976681.697192,10.0.31.1,Reitoria,18,325.319
1784976682.834472,10.0.21.1,Laboratorios,35,855.700
1784976682.959170,10.0.31.1,Reitoria,19,1159.913
1784976683.382277,10.0.31.1,Reitoria,20,321.651
1784976683.786355,10.0.21.1,Laboratorios,36,849.114
1784976684.008216,10.0.21.1,Laboratorios,37,119.317
1784976684.231684,10.0.21.1,Laboratorios,38,119.036
