timestamp_recebimento,ip_origem,site,sequencia,latencia_ms
1783766701.526540,10.0.31.1,Reitoria,0,319.370
1783766720.790884,10.0.21.1,Laboratorios,0,320.632
1783766740.880805,10.0.21.1,Laboratorios,0,0.606
1783766740.897398,10.0.11.1,Biblioteca,0,0.786
1783766740.983332,10.0.21.1,Laboratorios,1,0.751
1783766741.002143,10.0.11.1,Biblioteca,1,0.797
1783766741.090094,10.0.21.1,Laboratorios,2,0.787
1783766741.106827,10.0.11.1,Biblioteca,2,0.782
1783766741.196896,10.0.21.1,Laboratorios,3,0.555
1783766741.209485,10.0.11.1,Biblioteca,3,0.803
1783766741.302370,10.0.21.1,Laboratorios,4,0.790
1783766741.314369,10.0.11.1,Biblioteca,4,0.735
1783766741.409518,10.0.21.1,Laboratorios,5,1.134
1783766741.421539,10.0.11.1,Biblioteca,5,1.261
1783766741.516606,10.0.21.1,Laboratorios,6,0.807
1783766741.524662,10.0.11.1,Biblioteca,6,1.003
1783766741.535664,10.0.31.1,Reitoria,0,0.639
1783766741.624157,10.0.21.1,Laboratorios,7,0.751
1783766741.627131,10.0.11.1,Biblioteca,7,0.631
1783766741.638117,10.0.31.1,Reitoria,1,0.695
1783766741.727971,10.0.21.1,Laboratorios,8,1.241
1783766741.729499,10.0.11.1,Biblioteca,8,0.923
1783766741.741223,10.0.31.1,Reitoria,2,0.827
1783766741.834066,10.0.11.1,Biblioteca,9,1.459
1783766741.835909,10.0.21.1,Laboratorios,9,0.607
1783766741.844204,10.0.31.1,Reitoria,3,0.844
1783766741.938664,10.0.11.1,Biblioteca,10,1.499
1783766741.939578,10.0.21.1,Laboratorios,10,0.905
1783766741.946594,10.0.31.1,Reitoria,4,1.070
1783766742.046113,10.0.11.1,Biblioteca,11,2.320
1783766742.049984,10.0.21.1,Laboratorios,11,3.539
1783766742.052602,10.0.31.1,Reitoria,5,3.818
1783766742.156923,10.0.11.1,Biblioteca,12,0.807
1783766742.157149,10.0.31.1,Reitoria,6,0.499
1783766742.159022,10.0.21.1,Laboratorios,12,0.583
1783766742.261108,10.0.31.1,Reitoria,7,0.903
1783766742.262791,10.0.11.1,Biblioteca,13,0.763
1783766742.264976,10.0.21.1,Laboratorios,13,0.540
1783766742.365391,10.0.31.1,Reitoria,8,1.096
1783766742.366523,10.0.11.1,Biblioteca,14,0.968
1783766742.367371,10.0.21.1,Laboratorios,14,0.661
1783766742.471022,10.0.21.1,Laboratorios,15,0.850
1783766742.471909,10.0.31.1,Reitoria,9,1.004
1783766742.471585,10.0.11.1,Biblioteca,15,1.412
1783766742.576327,10.0.21.1,Laboratorios,16,1.281
1783766742.577208,10.0.31.1,Reitoria,10,1.122
1783766742.576910,10.0.11.1,Biblioteca,16,1.833
1783766742.682153,10.0.11.1,Biblioteca,17,1.196
1783766742.683491,10.0.21.1,Laboratorios,17,1.043
1783766742.683811,10.0.31.1,Reitoria,11,0.461
1783766742.785540,10.0.21.1,Laboratorios,18,1.063
1783766742.788300,10.0.11.1,Biblioteca,18,1.010
1783766742.788481,10.0.31.1,Reitoria,12,0.769
1783766742.890909,10.0.21.1,Laboratorios,19,0.518
1783766742.890653,10.0.11.1,Biblioteca,19,1.148
1783766742.895037,10.0.31.1,Reitoria,13,0.704
1783766742.995810,10.0.11.1,Biblioteca,20,0.931
1783766742.996181,10.0.21.1,Laboratorios,20,0.423
1783766742.997663,10.0.31.1,Reitoria,14,0.460
1783766743.098289,10.0.21.1,Laboratorios,21,0.692
1783766743.098902,10.0.11.1,Biblioteca,21,0.590
1783766743.104183,10.0.31.1,Reitoria,15,0.709
1783766743.201407,10.0.11.1,Biblioteca,22,0.867
1783766743.202871,10.0.21.1,Laboratorios,22,0.388
1783766743.208011,10.0.31.1,Reitoria,16,0.534
1783766743.308074,10.0.11.1,Biblioteca,23,0.750
1783766743.309691,10.0.21.1,Laboratorios,23,0.406
1783766743.310259,10.0.31.1,Reitoria,17,0.384
1783766743.410944,10.0.11.1,Biblioteca,24,1.103
1783766743.411746,10.0.31.1,Reitoria,18,0.417
1783766743.416803,10.0.21.1,Laboratorios,24,0.677
1783766743.515301,10.0.31.1,Reitoria,19,0.993
1783766743.516030,10.0.11.1,Biblioteca,25,0.684
1783766743.520805,10.0.21.1,Laboratorios,25,0.648
1783766743.618288,10.0.31.1,Reitoria,20,0.599
1783766743.618528,10.0.11.1,Biblioteca,26,1.002
1783766743.628284,10.0.21.1,Laboratorios,26,0.951
