timestamp_recebimento,ip_origem,site,sequencia,latencia_ms
1784976332.339850,10.0.31.1,Reitoria,0,59.861
1784976333.958464,10.0.21.1,Laboratorios,0,1614.312
1784976334.179621,10.0.21.1,Laboratorios,1,118.748
1784976337.867357,10.0.31.1,Reitoria,1,1140.758
1784976338.028755,10.0.31.1,Reitoria,2,59.997
1784976338.451368,10.0.31.1,Reitoria,3,321.321
1784976338.614118,10.0.31.1,Reitoria,4,59.843
1784976342.215259,10.0.11.1,Biblioteca,0,1660.273
1784976343.390826,10.0.21.1,Laboratorios,2,853.909
1784976343.943177,10.0.11.1,Biblioteca,1,1619.264
1784976344.350864,10.0.21.1,Laboratorios,3,857.631
1784976344.535634,10.0.11.1,Biblioteca,2,486.071
1784976344.926880,10.0.21.1,Laboratorios,4,473.439
1784976345.114000,10.0.11.1,Biblioteca,3,474.851
1784976345.147341,10.0.21.1,Laboratorios,5,117.951
1784976345.368587,10.0.21.1,Laboratorios,6,118.789
1784976345.928150,10.0.21.1,Laboratorios,7,457.092
1784976346.031892,10.0.11.1,Biblioteca,4,814.307
1784976346.489051,10.0.21.1,Laboratorios,8,458.210
1784976346.942730,10.0.11.1,Biblioteca,5,806.703
1784976347.047024,10.0.21.1,Laboratorios,9,455.493
1784976347.504234,10.0.11.1,Biblioteca,6,457.493
1784976348.294626,10.0.21.1,Laboratorios,10,1145.043
1784976348.744037,10.0.11.1,Biblioteca,7,1136.143
1784976349.174997,10.0.21.1,Laboratorios,11,777.832
1784976351.887131,10.0.21.1,Laboratorios,12,488.007
1784976352.481281,10.0.21.1,Laboratorios,13,491.293
1784976352.502762,10.0.11.1,Biblioteca,8,490.982
1784976353.061869,10.0.21.1,Laboratorios,14,476.909
1784976353.864169,10.0.11.1,Biblioteca,9,1257.905
1784976354.808307,10.0.11.1,Biblioteca,10,840.382
1784976355.405320,10.0.21.1,Laboratorios,15,119.808
1784976355.627373,10.0.21.1,Laboratorios,16,119.501
1784976356.207328,10.0.21.1,Laboratorios,17,476.796
1784976356.777282,10.0.21.1,Laboratorios,18,467.280
1784976356.998924,10.0.21.1,Laboratorios,19,119.197
1784976358.316304,10.0.11.1,Biblioteca,11,121.014
1784976358.540173,10.0.11.1,Biblioteca,12,119.792
1784976358.597946,10.0.21.1,Laboratorios,20,1496.573
1784976358.819304,10.0.21.1,Laboratorios,21,118.567
1784976359.375177,10.0.21.1,Laboratorios,22,453.259
1784976359.504654,10.0.11.1,Biblioteca,13,860.960
1784976359.597202,10.0.21.1,Laboratorios,23,119.420
1784976360.151372,10.0.21.1,Laboratorios,24,451.694
1784976360.373171,10.0.21.1,Laboratorios,25,119.359
1784976360.594930,10.0.21.1,Laboratorios,26,119.301
1784976360.818437,10.0.21.1,Laboratorios,27,119.290
1784976361.160143,10.0.11.1,Biblioteca,14,1551.883
1784976361.384633,10.0.11.1,Biblioteca,15,120.857
1784976361.609084,10.0.11.1,Biblioteca,16,120.368
1784976361.833580,10.0.11.1,Biblioteca,17,120.472
1784976362.376186,10.0.21.1,Laboratorios,28,1455.314
1784976362.391374,10.0.11.1,Biblioteca,18,454.087
1784976362.529358,10.0.31.1,Reitoria,5,60.599
1784976362.691420,10.0.31.1,Reitoria,6,60.032
1784976364.719664,10.0.21.1,Laboratorios,29,119.773
1784976364.738778,10.0.11.1,Biblioteca,19,119.547
1784976364.962914,10.0.11.1,Biblioteca,20,120.582
1784976365.671730,10.0.21.1,Laboratorios,30,849.576
1784976366.247403,10.0.21.1,Laboratorios,31,472.373
1784976366.470539,10.0.21.1,Laboratorios,32,119.799
1784976366.664141,10.0.11.1,Biblioteca,21,1596.614
1784976366.691536,10.0.21.1,Laboratorios,33,118.248
1784976367.255475,10.0.21.1,Laboratorios,34,460.963
1784976367.478476,10.0.21.1,Laboratorios,35,119.612
1784976367.592729,10.0.11.1,Biblioteca,22,824.316
1784976370.696624,10.0.11.1,Biblioteca,23,875.017
1784976370.920138,10.0.11.1,Biblioteca,24,119.899
1784976371.144210,10.0.11.1,Biblioteca,25,120.481
1784976371.368394,10.0.11.1,Biblioteca,26,120.367
1784976371.592546,10.0.11.1,Biblioteca,27,120.338
1784976371.816752,10.0.11.1,Biblioteca,28,120.642
1784976372.359316,10.0.21.1,Laboratorios,36,1598.056
1784976372.374794,10.0.11.1,Biblioteca,29,454.355
1784976372.598799,10.0.11.1,Biblioteca,30,120.267
1784976372.951208,10.0.21.1,Laboratorios,37,489.402
1784976373.158576,10.0.11.1,Biblioteca,31,456.124
1784976373.529346,10.0.21.1,Laboratorios,38,475.390
1784976374.103307,10.0.21.1,Laboratorios,39,469.132
1784976374.673337,10.0.21.1,Laboratorios,40,467.386
1784976375.231162,10.0.21.1,Laboratorios,41,455.108
1784976375.435269,10.0.31.1,Reitoria,7,1168.041
1784976375.505571,10.0.11.1,Biblioteca,32,119.935
1784976375.729478,10.0.11.1,Biblioteca,33,120.304
1784976376.311590,10.0.11.1,Biblioteca,34,478.465
1784976376.534600,10.0.11.1,Biblioteca,35,119.448
1784976377.923956,10.0.31.1,Reitoria,8,321.984
1784976378.350185,10.0.31.1,Reitoria,9,324.705
1784976379.079437,10.0.21.1,Laboratorios,42,1623.715
1784976380.656617,10.0.11.1,Biblioteca,36,869.003
1784976380.880870,10.0.11.1,Biblioteca,37,120.635
1784976382.601051,10.0.11.1,Biblioteca,38,1615.438
1784976383.176743,10.0.11.1,Biblioteca,39,472.006
1784976383.198452,10.0.21.1,Laboratorios,43,852.809
1784976383.783561,10.0.21.1,Laboratorios,44,482.698
1784976384.005378,10.0.21.1,Laboratorios,45,119.342
1784976384.227059,10.0.21.1,Laboratorios,46,119.143
1784976384.448856,10.0.21.1,Laboratorios,47,119.208
1784976385.007425,10.0.21.1,Laboratorios,48,456.108
1784976385.569534,10.0.21.1,Laboratorios,49,459.618
1784976386.127392,10.0.21.1,Laboratorios,50,455.349
1784976386.273059,10.0.11.1,Biblioteca,40,868.426
1784976386.681782,10.0.21.1,Laboratorios,51,451.946
1784976386.903529,10.0.21.1,Laboratorios,52,119.262
1784976387.125342,10.0.21.1,Laboratorios,53,119.192
1784976388.040321,10.0.11.1,Biblioteca,41,1663.434
1784976388.264448,10.0.11.1,Biblioteca,42,120.402
1784976388.488512,10.0.11.1,Biblioteca,43,120.431
1784976389.056678,10.0.11.1,Biblioteca,44,464.597
1784976389.238246,10.0.21.1,Laboratorios,54,2.775
1784976389.343399,10.0.21.1,Laboratorios,55,2.419
1784976389.393831,10.0.31.1,Reitoria,10,8880.558
1784976389.448719,10.0.21.1,Laboratorios,56,2.779
1784976389.510159,10.0.11.1,Biblioteca,45,349.900
1784976389.554282,10.0.21.1,Laboratorios,57,2.844
1784976389.619833,10.0.11.1,Biblioteca,46,3.865
1784976389.659914,10.0.21.1,Laboratorios,58,2.755
1784976389.727854,10.0.11.1,Biblioteca,47,3.827
1784976389.765582,10.0.21.1,Laboratorios,59,2.804
1784976389.839639,10.0.11.1,Biblioteca,48,4.294
1784976389.871173,10.0.21.1,Laboratorios,60,2.862
1784976389.908559,10.0.31.1,Reitoria,10,1.469
1784976389.948385,10.0.11.1,Biblioteca,49,3.932
1784976389.976859,10.0.21.1,Laboratorios,61,2.737
1784976390.011724,10.0.31.1,Reitoria,11,1.551
1784976390.056486,10.0.11.1,Biblioteca,50,4.107
