cenario,repeticao,site,tentativas,sucessos,falhas,recebidas,violacoes_5ms,nao_conformes,taxa_perdas,taxa_nao_conforme
isolado,01,Biblioteca,591,591,0,591,0,0,0.0,0.0
isolado,01,labs,591,591,0,0,0,0,0.0,0.0
isolado,01,Reitoria,591,591,0,591,0,0,0.0,0.0
isolado,02,Biblioteca,590,590,0,590,2,2,0.0,0.3389830508474576
isolado,02,labs,590,590,0,0,0,0,0.0,0.0
isolado,02,Reitoria,590,590,0,590,0,0,0.0,0.0
isolado,03,Biblioteca,589,589,0,589,0,0,0.0,0.0
isolado,03,labs,589,589,0,0,0,0,0.0,0.0
isolado,03,Reitoria,589,589,0,589,1,1,0.0,0.1697792869269949
isolado,04,Biblioteca,588,588,0,588,2,2,0.0,0.3401360544217687
isolado,04,labs,588,588,0,0,0,0,0.0,0.0
isolado,04,Reitoria,588,588,0,588,2,2,0.0,0.3401360544217687
isolado,05,Biblioteca,588,588,0,588,0,0,0.0,0.0
isolado,05,labs,588,588,0,0,0,0,0.0,0.0
isolado,05,Reitoria,588,588,0,588,0,0,0.0,0.0
sem_qos,01,Biblioteca,79,71,8,71,46,54,10.126582278481013,68.35443037974683
sem_qos,01,labs,92,83,9,0,0,9,9.782608695652174,9.782608695652174
sem_qos,01,Reitoria,47,33,14,35,12,26,29.78723404255319,55.319148936170215
sem_qos,02,Biblioteca,80,71,9,71,44,53,11.25,66.25
sem_qos,02,labs,97,90,7,0,0,7,7.216494845360825,7.216494845360825
sem_qos,02,Reitoria,82,73,9,73,47,56,10.975609756097562,68.29268292682927
sem_qos,03,Biblioteca,77,67,10,67,40,50,12.987012987012987,64.93506493506493
sem_qos,03,labs,58,48,10,0,0,10,17.24137931034483,17.24137931034483
sem_qos,03,Reitoria,57,43,14,44,24,38,24.56140350877193,66.66666666666667
sem_qos,04,Biblioteca,74,67,7,67,40,47,9.45945945945946,63.513513513513516
sem_qos,04,labs,82,74,8,0,0,8,9.75609756097561,9.75609756097561
sem_qos,04,Reitoria,51,37,14,37,9,23,27.45098039215686,45.09803921568628
sem_qos,05,Biblioteca,109,101,8,102,77,85,7.339449541284404,77.98165137614679
sem_qos,05,labs,83,72,11,0,0,11,13.25301204819277,13.25301204819277
sem_qos,05,Reitoria,56,46,10,46,25,35,17.857142857142858,62.5
qos_estatico,01,Biblioteca,85,79,6,80,51,57,7.0588235294117645,67.05882352941177
qos_estatico,01,labs,75,69,6,0,0,6,8.0,8.0
qos_estatico,01,Reitoria,107,103,4,103,76,80,3.7383177570093458,74.76635514018692
qos_estatico,02,Biblioteca,38,27,11,27,4,15,28.94736842105263,39.473684210526315
qos_estatico,02,labs,52,41,11,0,0,11,21.153846153846153,21.153846153846153
qos_estatico,02,Reitoria,54,44,10,44,28,38,18.51851851851852,70.37037037037037
qos_estatico,03,Biblioteca,33,24,9,26,5,14,27.272727272727273,42.42424242424242
qos_estatico,03,labs,37,28,9,0,0,9,24.324324324324323,24.324324324324323
qos_estatico,03,Reitoria,60,52,8,57,31,39,13.333333333333334,65.0
qos_estatico,04,Biblioteca,48,40,8,42,15,23,16.666666666666668,47.916666666666664
qos_estatico,04,labs,46,38,8,0,0,8,17.391304347826086,17.391304347826086
qos_estatico,04,Reitoria,75,65,10,65,39,49,13.333333333333334,65.33333333333333
qos_estatico,05,Biblioteca,38,28,10,29,12,22,26.31578947368421,57.89473684210526
qos_estatico,05,labs,44,35,9,0,0,9,20.454545454545453,20.454545454545453
qos_estatico,05,Reitoria,95,85,10,85,57,67,10.526315789473685,70.52631578947368
reativo,01,Biblioteca,36,25,11,25,0,11,30.555555555555557,30.555555555555557
reativo,01,labs,36,25,11,0,0,11,30.555555555555557,30.555555555555557
reativo,01,Reitoria,36,26,10,26,2,12,27.77777777777778,33.333333333333336
reativo,02,Biblioteca,36,25,11,25,0,11,30.555555555555557,30.555555555555557
reativo,02,labs,35,25,10,0,0,10,28.571428571428573,28.571428571428573
reativo,02,Reitoria,36,26,10,26,1,11,27.77777777777778,30.555555555555557
reativo,03,Biblioteca,36,25,11,26,1,12,30.555555555555557,33.333333333333336
reativo,03,labs,35,25,10,0,0,10,28.571428571428573,28.571428571428573
reativo,03,Reitoria,34,25,9,27,2,11,26.470588235294116,32.35294117647059
reativo,04,Biblioteca,37,26,11,26,1,12,29.72972972972973,32.432432432432435
reativo,04,labs,36,25,11,0,0,11,30.555555555555557,30.555555555555557
reativo,04,Reitoria,36,25,11,26,1,12,30.555555555555557,33.333333333333336
reativo,05,Biblioteca,36,25,11,25,0,11,30.555555555555557,30.555555555555557
reativo,05,labs,31,21,10,0,0,10,32.25806451612903,32.25806451612903
reativo,05,Reitoria,37,26,11,26,1,12,29.72972972972973,32.432432432432435
