cenario,repeticao,site,vazao_mbit_s,perda_percentual
sem_qos,01,Biblioteca,6.19,48.0
sem_qos,01,Laboratorios,7.67,36.0
sem_qos,01,Reitoria,5.55,54.0
sem_qos,02,Biblioteca,6.39,47.0
sem_qos,02,Laboratorios,7.06,41.0
sem_qos,02,Reitoria,5.96,50.0
sem_qos,03,Biblioteca,6.85,43.0
sem_qos,03,Laboratorios,7.48,37.0
sem_qos,03,Reitoria,5.06,58.0
sem_qos,04,Biblioteca,6.63,45.0
sem_qos,04,Laboratorios,7.4,38.0
sem_qos,04,Reitoria,5.39,55.0
sem_qos,05,Biblioteca,7.27,39.0
sem_qos,05,Laboratorios,7.2,40.0
sem_qos,05,Reitoria,4.93,59.0
qos_estatico,01,Biblioteca,3.18,73.0
qos_estatico,01,Laboratorios,4.42,63.0
qos_estatico,01,Reitoria,10.7,11.0
qos_estatico,02,Biblioteca,2.98,75.0
qos_estatico,02,Laboratorios,4.4,63.0
qos_estatico,02,Reitoria,9.87,18.0
qos_estatico,03,Biblioteca,3.02,75.0
qos_estatico,03,Laboratorios,4.3,64.0
qos_estatico,03,Reitoria,9.41,21.0
qos_estatico,04,Biblioteca,2.8,77.0
qos_estatico,04,Laboratorios,4.29,64.0
qos_estatico,04,Reitoria,9.89,17.0
qos_estatico,05,Biblioteca,2.68,78.0
qos_estatico,05,Laboratorios,4.45,63.0
qos_estatico,05,Reitoria,10.1,16.0
reativo,01,Biblioteca,0.376,97.0
reativo,01,Laboratorios,0.534,96.0
reativo,01,Reitoria,1.77,85.0
reativo,02,Biblioteca,0.451,96.0
reativo,02,Laboratorios,0.666,94.0
reativo,02,Reitoria,1.81,85.0
reativo,03,Biblioteca,0.49,96.0
reativo,03,Laboratorios,0.642,95.0
reativo,03,Reitoria,1.78,85.0
reativo,04,Biblioteca,0.616,95.0
reativo,04,Laboratorios,0.765,94.0
reativo,04,Reitoria,1.95,84.0
reativo,05,Biblioteca,0.33,97.0
reativo,05,Laboratorios,0.41100000000000003,97.0
reativo,05,Reitoria,1.39,88.0
