Iniciando gerador uRLLC (Scapy/TCP) para 10.0.99.1:5000
Latência uRLLC (RTT local): 0.427 ms
Latência uRLLC (RTT local): 0.511 ms
Latência uRLLC (RTT local): 1.588 ms
Latência uRLLC (RTT local): 2.757 ms
Latência uRLLC (RTT local): 1.873 ms
Latência uRLLC (RTT local): 2.304 ms
Latência uRLLC (RTT local): 1.429 ms
Latência uRLLC (RTT local): 1.492 ms
Latência uRLLC (RTT local): 1.306 ms
Latência uRLLC (RTT local): 1.306 ms
Latência uRLLC (RTT local): 1.065 ms
Latência uRLLC (RTT local): 1.324 ms
Latência uRLLC (RTT local): 2.333 ms
Latência uRLLC (RTT local): 2.429 ms
Latência uRLLC (RTT local): 2.182 ms
Latência uRLLC (RTT local): 1.821 ms
Latência uRLLC (RTT local): 2.105 ms
Latência uRLLC (RTT local): 1.846 ms
Latência uRLLC (RTT local): 2.079 ms
Latência uRLLC (RTT local): 1.661 ms
Latência uRLLC (RTT local): 1.945 ms
Latência uRLLC (RTT local): 2.526 ms
Latência uRLLC (RTT local): 1.524 ms
Latência uRLLC (RTT local): 1.454 ms
Latência uRLLC (RTT local): 1.403 ms
Latência uRLLC (RTT local): 2.663 ms
Latência uRLLC (RTT local): 1.374 ms
Latência uRLLC (RTT local): 2.038 ms
Latência uRLLC (RTT local): 1.675 ms
Latência uRLLC (RTT local): 2.486 ms
Latência uRLLC (RTT local): 2.260 ms
Latência uRLLC (RTT local): 2.573 ms
Latência uRLLC (RTT local): 3.011 ms
Latência uRLLC (RTT local): 1.237 ms
Latência uRLLC (RTT local): 1.929 ms
Latência uRLLC (RTT local): 1.784 ms
Latência uRLLC (RTT local): 1.560 ms
Latência uRLLC (RTT local): 1.905 ms
Latência uRLLC (RTT local): 2.331 ms
Latência uRLLC (RTT local): 2.931 ms
Latência uRLLC (RTT local): 2.171 ms
Latência uRLLC (RTT local): 1.503 ms
Latência uRLLC (RTT local): 1.691 ms
Latência uRLLC (RTT local): 1.828 ms
Latência uRLLC (RTT local): 2.565 ms
Latência uRLLC (RTT local): 1.669 ms
Latência uRLLC (RTT local): 2.500 ms
Latência uRLLC (RTT local): 1.675 ms
Latência uRLLC (RTT local): 1.789 ms
Latência uRLLC (RTT local): 1.613 ms
Latência uRLLC (RTT local): 1.760 ms
Latência uRLLC (RTT local): 2.098 ms
Latência uRLLC (RTT local): 1.646 ms
Latência uRLLC (RTT local): 2.306 ms
Latência uRLLC (RTT local): 2.288 ms
Latência uRLLC (RTT local): 2.442 ms
Latência uRLLC (RTT local): 2.614 ms
Latência uRLLC (RTT local): 1.575 ms
Latência uRLLC (RTT local): 1.799 ms
Latência uRLLC (RTT local): 2.360 ms
Latência uRLLC (RTT local): 1.943 ms
Latência uRLLC (RTT local): 2.506 ms
Latência uRLLC (RTT local): 6.177 ms
Latência uRLLC (RTT local): 3.066 ms
Latência uRLLC (RTT local): 3.401 ms
Latência uRLLC (RTT local): 2.407 ms
Latência uRLLC (RTT local): 3.165 ms
Latência uRLLC (RTT local): 3.609 ms
Latência uRLLC (RTT local): 2.022 ms
Latência uRLLC (RTT local): 3.096 ms
Latência uRLLC (RTT local): 3.584 ms
Latência uRLLC (RTT local): 2.024 ms
Latência uRLLC (RTT local): 2.796 ms
Latência uRLLC (RTT local): 3.369 ms
Latência uRLLC (RTT local): 2.423 ms
Latência uRLLC (RTT local): 3.049 ms
Latência uRLLC (RTT local): 1.393 ms
Latência uRLLC (RTT local): 1.282 ms
Latência uRLLC (RTT local): 1.677 ms
Latência uRLLC (RTT local): 1.938 ms
Latência uRLLC (RTT local): 1.471 ms
Latência uRLLC (RTT local): 1.743 ms
Latência uRLLC (RTT local): 1.841 ms
Latência uRLLC (RTT local): 1.316 ms
Latência uRLLC (RTT local): 1.617 ms
Latência uRLLC (RTT local): 1.420 ms
Latência uRLLC (RTT local): 1.385 ms
Latência uRLLC (RTT local): 2.141 ms
Latência uRLLC (RTT local): 1.408 ms
Latência uRLLC (RTT local): 2.308 ms
Latência uRLLC (RTT local): 2.179 ms
Latência uRLLC (RTT local): 2.386 ms
Latência uRLLC (RTT local): 1.099 ms
Latência uRLLC (RTT local): 1.402 ms
Latência uRLLC (RTT local): 1.428 ms
Latência uRLLC (RTT local): 1.755 ms
Latência uRLLC (RTT local): 1.627 ms
Latência uRLLC (RTT local): 2.498 ms
Latência uRLLC (RTT local): 1.805 ms
Latência uRLLC (RTT local): 2.849 ms
Latência uRLLC (RTT local): 1.645 ms
Latência uRLLC (RTT local): 3.167 ms
Latência uRLLC (RTT local): 2.195 ms
Latência uRLLC (RTT local): 2.331 ms
Latência uRLLC (RTT local): 1.480 ms
Latência uRLLC (RTT local): 3.381 ms
Latência uRLLC (RTT local): 2.360 ms
Latência uRLLC (RTT local): 2.131 ms
Latência uRLLC (RTT local): 2.481 ms
Latência uRLLC (RTT local): 3.175 ms
Latência uRLLC (RTT local): 2.207 ms
Latência uRLLC (RTT local): 1.777 ms
Latência uRLLC (RTT local): 1.795 ms
Latência uRLLC (RTT local): 2.255 ms
Latência uRLLC (RTT local): 1.841 ms
Latência uRLLC (RTT local): 2.212 ms
Latência uRLLC (RTT local): 1.375 ms
Latência uRLLC (RTT local): 1.419 ms
Latência uRLLC (RTT local): 3.262 ms
Latência uRLLC (RTT local): 1.384 ms
Latência uRLLC (RTT local): 3.423 ms
Latência uRLLC (RTT local): 2.632 ms
Latência uRLLC (RTT local): 2.855 ms
Latência uRLLC (RTT local): 2.003 ms
Latência uRLLC (RTT local): 1.878 ms
Latência uRLLC (RTT local): 1.740 ms
Latência uRLLC (RTT local): 1.998 ms
Latência uRLLC (RTT local): 1.487 ms
Latência uRLLC (RTT local): 1.524 ms
Latência uRLLC (RTT local): 2.943 ms
Latência uRLLC (RTT local): 1.575 ms
Latência uRLLC (RTT local): 2.501 ms
Latência uRLLC (RTT local): 1.820 ms
Latência uRLLC (RTT local): 1.709 ms
Latência uRLLC (RTT local): 1.171 ms
Latência uRLLC (RTT local): 1.450 ms
Latência uRLLC (RTT local): 1.376 ms
Latência uRLLC (RTT local): 1.936 ms
Latência uRLLC (RTT local): 2.353 ms
Latência uRLLC (RTT local): 2.277 ms
Latência uRLLC (RTT local): 3.250 ms
Latência uRLLC (RTT local): 2.677 ms
Latência uRLLC (RTT local): 3.263 ms
Latência uRLLC (RTT local): 1.902 ms
Latência uRLLC (RTT local): 2.004 ms
Latência uRLLC (RTT local): 1.959 ms
Latência uRLLC (RTT local): 3.735 ms
Latência uRLLC (RTT local): 1.580 ms
Latência uRLLC (RTT local): 1.755 ms
Latência uRLLC (RTT local): 1.714 ms
Latência uRLLC (RTT local): 1.254 ms
Latência uRLLC (RTT local): 2.246 ms
Latência uRLLC (RTT local): 1.800 ms
Latência uRLLC (RTT local): 2.964 ms
Latência uRLLC (RTT local): 3.960 ms
Latência uRLLC (RTT local): 3.109 ms
Latência uRLLC (RTT local): 2.587 ms
Latência uRLLC (RTT local): 1.653 ms
Latência uRLLC (RTT local): 3.185 ms
Latência uRLLC (RTT local): 1.756 ms
Latência uRLLC (RTT local): 2.843 ms
Latência uRLLC (RTT local): 3.372 ms
Latência uRLLC (RTT local): 2.168 ms
Latência uRLLC (RTT local): 1.609 ms
Latência uRLLC (RTT local): 1.662 ms
Latência uRLLC (RTT local): 1.566 ms
Latência uRLLC (RTT local): 3.151 ms
Latência uRLLC (RTT local): 2.752 ms
Latência uRLLC (RTT local): 4.375 ms
Latência uRLLC (RTT local): 1.697 ms
Latência uRLLC (RTT local): 1.853 ms
Latência uRLLC (RTT local): 2.361 ms
Latência uRLLC (RTT local): 2.524 ms
Latência uRLLC (RTT local): 2.642 ms
Latência uRLLC (RTT local): 3.181 ms
Latência uRLLC (RTT local): 3.027 ms
Latência uRLLC (RTT local): 3.247 ms
Latência uRLLC (RTT local): 3.659 ms
Latência uRLLC (RTT local): 3.049 ms
Latência uRLLC (RTT local): 2.791 ms
Latência uRLLC (RTT local): 2.641 ms
Latência uRLLC (RTT local): 3.213 ms
Latência uRLLC (RTT local): 2.165 ms
Latência uRLLC (RTT local): 3.425 ms
Latência uRLLC (RTT local): 3.592 ms
Latência uRLLC (RTT local): 3.699 ms
Latência uRLLC (RTT local): 1.652 ms
Latência uRLLC (RTT local): 3.831 ms
Latência uRLLC (RTT local): 2.127 ms
Latência uRLLC (RTT local): 2.881 ms
Latência uRLLC (RTT local): 2.591 ms
Latência uRLLC (RTT local): 2.779 ms
Latência uRLLC (RTT local): 2.161 ms
Latência uRLLC (RTT local): 3.002 ms
Latência uRLLC (RTT local): 2.773 ms
Latência uRLLC (RTT local): 2.373 ms
Latência uRLLC (RTT local): 3.382 ms
Latência uRLLC (RTT local): 2.043 ms
Latência uRLLC (RTT local): 3.300 ms
Latência uRLLC (RTT local): 2.621 ms
Latência uRLLC (RTT local): 2.028 ms
Latência uRLLC (RTT local): 1.314 ms
Latência uRLLC (RTT local): 1.825 ms
Latência uRLLC (RTT local): 1.580 ms
Latência uRLLC (RTT local): 2.245 ms
Latência uRLLC (RTT local): 2.812 ms
Latência uRLLC (RTT local): 1.837 ms
Latência uRLLC (RTT local): 2.349 ms
Latência uRLLC (RTT local): 2.472 ms
Latência uRLLC (RTT local): 2.670 ms
Latência uRLLC (RTT local): 1.953 ms
Latência uRLLC (RTT local): 1.801 ms
Latência uRLLC (RTT local): 4.202 ms
Latência uRLLC (RTT local): 1.947 ms
Latência uRLLC (RTT local): 2.062 ms
Latência uRLLC (RTT local): 2.000 ms
Latência uRLLC (RTT local): 2.448 ms
Latência uRLLC (RTT local): 2.445 ms
Latência uRLLC (RTT local): 1.448 ms
Latência uRLLC (RTT local): 2.510 ms
Latência uRLLC (RTT local): 1.941 ms
Latência uRLLC (RTT local): 1.559 ms
Latência uRLLC (RTT local): 1.212 ms
Latência uRLLC (RTT local): 1.457 ms
Latência uRLLC (RTT local): 1.421 ms
Latência uRLLC (RTT local): 1.355 ms
Latência uRLLC (RTT local): 2.471 ms
Latência uRLLC (RTT local): 2.535 ms
Latência uRLLC (RTT local): 1.356 ms
Latência uRLLC (RTT local): 1.036 ms
Latência uRLLC (RTT local): 2.188 ms
Latência uRLLC (RTT local): 2.095 ms
Latência uRLLC (RTT local): 1.700 ms
Latência uRLLC (RTT local): 2.130 ms
Latência uRLLC (RTT local): 2.500 ms
Latência uRLLC (RTT local): 1.962 ms
Latência uRLLC (RTT local): 1.569 ms
Latência uRLLC (RTT local): 1.487 ms
Latência uRLLC (RTT local): 1.561 ms
Latência uRLLC (RTT local): 1.775 ms
Latência uRLLC (RTT local): 1.693 ms
Latência uRLLC (RTT local): 1.846 ms
Latência uRLLC (RTT local): 2.328 ms
Latência uRLLC (RTT local): 2.286 ms
Latência uRLLC (RTT local): 2.042 ms
Latência uRLLC (RTT local): 2.242 ms
Latência uRLLC (RTT local): 1.544 ms
Latência uRLLC (RTT local): 1.748 ms
Latência uRLLC (RTT local): 2.021 ms
Latência uRLLC (RTT local): 1.867 ms
Latência uRLLC (RTT local): 1.420 ms
Latência uRLLC (RTT local): 4.616 ms
Latência uRLLC (RTT local): 2.979 ms
Latência uRLLC (RTT local): 1.524 ms
Latência uRLLC (RTT local): 2.777 ms
Latência uRLLC (RTT local): 1.944 ms
Latência uRLLC (RTT local): 1.772 ms
Latência uRLLC (RTT local): 1.199 ms
Latência uRLLC (RTT local): 1.377 ms
Latência uRLLC (RTT local): 1.277 ms
Latência uRLLC (RTT local): 2.961 ms
Latência uRLLC (RTT local): 2.955 ms
Latência uRLLC (RTT local): 2.961 ms
Latência uRLLC (RTT local): 3.725 ms
Latência uRLLC (RTT local): 2.908 ms
Latência uRLLC (RTT local): 1.722 ms
Latência uRLLC (RTT local): 1.483 ms
Latência uRLLC (RTT local): 2.680 ms
Latência uRLLC (RTT local): 1.595 ms
Latência uRLLC (RTT local): 2.257 ms
Latência uRLLC (RTT local): 2.432 ms
Latência uRLLC (RTT local): 2.273 ms
Latência uRLLC (RTT local): 2.010 ms
Latência uRLLC (RTT local): 1.784 ms
Latência uRLLC (RTT local): 2.263 ms
Latência uRLLC (RTT local): 1.845 ms
Latência uRLLC (RTT local): 2.356 ms
Latência uRLLC (RTT local): 2.406 ms
Latência uRLLC (RTT local): 2.057 ms
Latência uRLLC (RTT local): 1.768 ms
Latência uRLLC (RTT local): 2.106 ms
Latência uRLLC (RTT local): 1.935 ms
Latência uRLLC (RTT local): 2.350 ms
Latência uRLLC (RTT local): 3.080 ms
Latência uRLLC (RTT local): 3.826 ms
Latência uRLLC (RTT local): 1.676 ms
Latência uRLLC (RTT local): 1.585 ms
Latência uRLLC (RTT local): 1.427 ms
Latência uRLLC (RTT local): 2.983 ms
Latência uRLLC (RTT local): 1.767 ms
Latência uRLLC (RTT local): 2.394 ms
Latência uRLLC (RTT local): 1.715 ms
Latência uRLLC (RTT local): 3.225 ms
Latência uRLLC (RTT local): 1.826 ms
Latência uRLLC (RTT local): 2.514 ms
Latência uRLLC (RTT local): 2.664 ms
Latência uRLLC (RTT local): 2.252 ms
Latência uRLLC (RTT local): 2.815 ms
Latência uRLLC (RTT local): 2.531 ms
Latência uRLLC (RTT local): 2.167 ms
Latência uRLLC (RTT local): 2.577 ms
Latência uRLLC (RTT local): 1.354 ms
Latência uRLLC (RTT local): 1.631 ms
Latência uRLLC (RTT local): 1.525 ms
Latência uRLLC (RTT local): 1.947 ms
Latência uRLLC (RTT local): 1.854 ms
Latência uRLLC (RTT local): 1.757 ms
Latência uRLLC (RTT local): 1.791 ms
Latência uRLLC (RTT local): 1.699 ms
Latência uRLLC (RTT local): 1.758 ms
Latência uRLLC (RTT local): 1.566 ms
Latência uRLLC (RTT local): 1.726 ms
Latência uRLLC (RTT local): 1.861 ms
Latência uRLLC (RTT local): 2.007 ms
Latência uRLLC (RTT local): 1.608 ms
Latência uRLLC (RTT local): 2.702 ms
Latência uRLLC (RTT local): 2.998 ms
Latência uRLLC (RTT local): 1.847 ms
Latência uRLLC (RTT local): 2.306 ms
Latência uRLLC (RTT local): 2.120 ms
Latência uRLLC (RTT local): 2.923 ms
Latência uRLLC (RTT local): 2.188 ms
Latência uRLLC (RTT local): 2.962 ms
Latência uRLLC (RTT local): 1.575 ms
Latência uRLLC (RTT local): 0.854 ms
Latência uRLLC (RTT local): 1.746 ms
Latência uRLLC (RTT local): 1.869 ms
Latência uRLLC (RTT local): 1.657 ms
Latência uRLLC (RTT local): 1.939 ms
Latência uRLLC (RTT local): 2.157 ms
Latência uRLLC (RTT local): 1.787 ms
Latência uRLLC (RTT local): 1.806 ms
Latência uRLLC (RTT local): 2.460 ms
Latência uRLLC (RTT local): 2.088 ms
Latência uRLLC (RTT local): 0.884 ms
Latência uRLLC (RTT local): 1.271 ms
Latência uRLLC (RTT local): 2.127 ms
Latência uRLLC (RTT local): 2.864 ms
Latência uRLLC (RTT local): 3.161 ms
Latência uRLLC (RTT local): 2.940 ms
Latência uRLLC (RTT local): 2.792 ms
Latência uRLLC (RTT local): 2.586 ms
Latência uRLLC (RTT local): 2.216 ms
Latência uRLLC (RTT local): 1.786 ms
Latência uRLLC (RTT local): 2.398 ms
Latência uRLLC (RTT local): 2.271 ms
Latência uRLLC (RTT local): 1.533 ms
Latência uRLLC (RTT local): 1.523 ms
Latência uRLLC (RTT local): 2.780 ms
Latência uRLLC (RTT local): 1.772 ms
Latência uRLLC (RTT local): 1.837 ms
Latência uRLLC (RTT local): 2.045 ms
Latência uRLLC (RTT local): 2.502 ms
Latência uRLLC (RTT local): 2.041 ms
Latência uRLLC (RTT local): 2.322 ms
Latência uRLLC (RTT local): 1.987 ms
Latência uRLLC (RTT local): 1.639 ms
Latência uRLLC (RTT local): 2.114 ms
Latência uRLLC (RTT local): 4.735 ms
Latência uRLLC (RTT local): 1.998 ms
Latência uRLLC (RTT local): 2.004 ms
Latência uRLLC (RTT local): 2.415 ms
Latência uRLLC (RTT local): 2.857 ms
Latência uRLLC (RTT local): 1.984 ms
Latência uRLLC (RTT local): 2.075 ms
Latência uRLLC (RTT local): 1.815 ms
Latência uRLLC (RTT local): 2.080 ms
Latência uRLLC (RTT local): 2.845 ms
Latência uRLLC (RTT local): 1.889 ms
Latência uRLLC (RTT local): 2.366 ms
Latência uRLLC (RTT local): 2.637 ms
Latência uRLLC (RTT local): 4.826 ms
Latência uRLLC (RTT local): 2.012 ms
Latência uRLLC (RTT local): 2.068 ms
Latência uRLLC (RTT local): 3.421 ms
Latência uRLLC (RTT local): 1.417 ms
Latência uRLLC (RTT local): 2.608 ms
Latência uRLLC (RTT local): 2.559 ms
Latência uRLLC (RTT local): 3.752 ms
Latência uRLLC (RTT local): 3.602 ms
Latência uRLLC (RTT local): 1.713 ms
Latência uRLLC (RTT local): 1.954 ms
Latência uRLLC (RTT local): 2.441 ms
Latência uRLLC (RTT local): 2.939 ms
Latência uRLLC (RTT local): 2.800 ms
Latência uRLLC (RTT local): 2.353 ms
Latência uRLLC (RTT local): 2.553 ms
Latência uRLLC (RTT local): 2.223 ms
Latência uRLLC (RTT local): 3.091 ms
Latência uRLLC (RTT local): 1.963 ms
Latência uRLLC (RTT local): 1.718 ms
Latência uRLLC (RTT local): 2.773 ms
Latência uRLLC (RTT local): 1.938 ms
Latência uRLLC (RTT local): 2.941 ms
Latência uRLLC (RTT local): 3.345 ms
Latência uRLLC (RTT local): 2.288 ms
Latência uRLLC (RTT local): 3.442 ms
Latência uRLLC (RTT local): 2.462 ms
Latência uRLLC (RTT local): 3.045 ms
Latência uRLLC (RTT local): 1.733 ms
Latência uRLLC (RTT local): 3.654 ms
Latência uRLLC (RTT local): 0.916 ms
Latência uRLLC (RTT local): 2.503 ms
Latência uRLLC (RTT local): 2.767 ms
Latência uRLLC (RTT local): 2.284 ms
Latência uRLLC (RTT local): 1.599 ms
Latência uRLLC (RTT local): 2.190 ms
Latência uRLLC (RTT local): 1.857 ms
Latência uRLLC (RTT local): 1.887 ms
Latência uRLLC (RTT local): 2.073 ms
Latência uRLLC (RTT local): 1.843 ms
Latência uRLLC (RTT local): 2.458 ms
Latência uRLLC (RTT local): 1.598 ms
Latência uRLLC (RTT local): 1.716 ms
Latência uRLLC (RTT local): 2.718 ms
Latência uRLLC (RTT local): 2.121 ms
Latência uRLLC (RTT local): 1.893 ms
Latência uRLLC (RTT local): 1.814 ms
Latência uRLLC (RTT local): 1.718 ms
Latência uRLLC (RTT local): 1.271 ms
Latência uRLLC (RTT local): 1.369 ms
Latência uRLLC (RTT local): 1.604 ms
Latência uRLLC (RTT local): 1.286 ms
Latência uRLLC (RTT local): 2.975 ms
Latência uRLLC (RTT local): 2.037 ms
Latência uRLLC (RTT local): 2.979 ms
Latência uRLLC (RTT local): 2.314 ms
Latência uRLLC (RTT local): 1.693 ms
Latência uRLLC (RTT local): 1.659 ms
Latência uRLLC (RTT local): 1.602 ms
Latência uRLLC (RTT local): 2.084 ms
Latência uRLLC (RTT local): 2.709 ms
Latência uRLLC (RTT local): 2.494 ms
Latência uRLLC (RTT local): 1.647 ms
Latência uRLLC (RTT local): 1.782 ms
Latência uRLLC (RTT local): 2.218 ms
Latência uRLLC (RTT local): 2.756 ms
Latência uRLLC (RTT local): 2.808 ms
Latência uRLLC (RTT local): 2.883 ms
Latência uRLLC (RTT local): 3.988 ms
Latência uRLLC (RTT local): 2.461 ms
Latência uRLLC (RTT local): 2.320 ms
Latência uRLLC (RTT local): 2.557 ms
Latência uRLLC (RTT local): 2.775 ms
Latência uRLLC (RTT local): 2.216 ms
Latência uRLLC (RTT local): 3.722 ms
Latência uRLLC (RTT local): 2.639 ms
Latência uRLLC (RTT local): 2.347 ms
Latência uRLLC (RTT local): 1.965 ms
Latência uRLLC (RTT local): 6.041 ms
Latência uRLLC (RTT local): 1.608 ms
Latência uRLLC (RTT local): 1.531 ms
Latência uRLLC (RTT local): 2.558 ms
Latência uRLLC (RTT local): 3.249 ms
Latência uRLLC (RTT local): 2.383 ms
Latência uRLLC (RTT local): 3.301 ms
Latência uRLLC (RTT local): 3.686 ms
Latência uRLLC (RTT local): 2.619 ms
Latência uRLLC (RTT local): 3.339 ms
Latência uRLLC (RTT local): 2.898 ms
Latência uRLLC (RTT local): 2.475 ms
Latência uRLLC (RTT local): 3.325 ms
Latência uRLLC (RTT local): 1.947 ms
Latência uRLLC (RTT local): 5.172 ms
Latência uRLLC (RTT local): 3.685 ms
Latência uRLLC (RTT local): 2.329 ms
Latência uRLLC (RTT local): 1.649 ms
Latência uRLLC (RTT local): 1.903 ms
Latência uRLLC (RTT local): 3.722 ms
Latência uRLLC (RTT local): 2.291 ms
Latência uRLLC (RTT local): 3.210 ms
Latência uRLLC (RTT local): 2.164 ms
Latência uRLLC (RTT local): 2.145 ms
Latência uRLLC (RTT local): 2.146 ms
Latência uRLLC (RTT local): 1.891 ms
Latência uRLLC (RTT local): 1.447 ms
Latência uRLLC (RTT local): 1.731 ms
Latência uRLLC (RTT local): 2.136 ms
Latência uRLLC (RTT local): 2.771 ms
Latência uRLLC (RTT local): 2.127 ms
Latência uRLLC (RTT local): 1.987 ms
Latência uRLLC (RTT local): 3.444 ms
Latência uRLLC (RTT local): 3.282 ms
Latência uRLLC (RTT local): 2.134 ms
Latência uRLLC (RTT local): 2.646 ms
Latência uRLLC (RTT local): 2.419 ms
Latência uRLLC (RTT local): 4.134 ms
Latência uRLLC (RTT local): 3.646 ms
Latência uRLLC (RTT local): 2.143 ms
Latência uRLLC (RTT local): 2.569 ms
Latência uRLLC (RTT local): 2.974 ms
Latência uRLLC (RTT local): 1.814 ms
Latência uRLLC (RTT local): 1.604 ms
Latência uRLLC (RTT local): 2.605 ms
Latência uRLLC (RTT local): 2.032 ms
Latência uRLLC (RTT local): 2.157 ms
Latência uRLLC (RTT local): 2.050 ms
Latência uRLLC (RTT local): 2.934 ms
Latência uRLLC (RTT local): 3.310 ms
Latência uRLLC (RTT local): 3.223 ms
Latência uRLLC (RTT local): 2.312 ms
Latência uRLLC (RTT local): 2.057 ms
Latência uRLLC (RTT local): 1.460 ms
Latência uRLLC (RTT local): 2.382 ms
Latência uRLLC (RTT local): 1.611 ms
Latência uRLLC (RTT local): 2.477 ms
Latência uRLLC (RTT local): 1.440 ms
Latência uRLLC (RTT local): 1.861 ms
Latência uRLLC (RTT local): 2.866 ms
Latência uRLLC (RTT local): 2.871 ms
Latência uRLLC (RTT local): 1.534 ms
Latência uRLLC (RTT local): 1.722 ms
Latência uRLLC (RTT local): 2.253 ms
Latência uRLLC (RTT local): 1.937 ms
Latência uRLLC (RTT local): 1.465 ms
Latência uRLLC (RTT local): 1.684 ms
Latência uRLLC (RTT local): 1.784 ms
Latência uRLLC (RTT local): 1.695 ms
Latência uRLLC (RTT local): 3.047 ms
Latência uRLLC (RTT local): 2.254 ms
Latência uRLLC (RTT local): 1.677 ms
Latência uRLLC (RTT local): 1.536 ms
Latência uRLLC (RTT local): 1.960 ms
Latência uRLLC (RTT local): 3.769 ms
Latência uRLLC (RTT local): 1.672 ms
Latência uRLLC (RTT local): 2.949 ms
Latência uRLLC (RTT local): 1.513 ms
Latência uRLLC (RTT local): 1.632 ms
Latência uRLLC (RTT local): 1.672 ms
Latência uRLLC (RTT local): 2.398 ms
Latência uRLLC (RTT local): 2.266 ms
Latência uRLLC (RTT local): 1.904 ms
Latência uRLLC (RTT local): 2.318 ms
Latência uRLLC (RTT local): 2.871 ms
Latência uRLLC (RTT local): 2.422 ms
Latência uRLLC (RTT local): 2.610 ms
Latência uRLLC (RTT local): 2.634 ms
Latência uRLLC (RTT local): 2.202 ms
Latência uRLLC (RTT local): 2.228 ms
Latência uRLLC (RTT local): 2.466 ms
Latência uRLLC (RTT local): 2.446 ms
Latência uRLLC (RTT local): 2.545 ms
Latência uRLLC (RTT local): 2.070 ms
Latência uRLLC (RTT local): 1.887 ms
Latência uRLLC (RTT local): 2.281 ms
Latência uRLLC (RTT local): 2.243 ms
Latência uRLLC (RTT local): 3.650 ms
Latência uRLLC (RTT local): 2.524 ms
Latência uRLLC (RTT local): 2.530 ms
Latência uRLLC (RTT local): 2.314 ms
Latência uRLLC (RTT local): 2.255 ms
Latência uRLLC (RTT local): 2.247 ms
Latência uRLLC (RTT local): 2.018 ms
Latência uRLLC (RTT local): 2.411 ms
Latência uRLLC (RTT local): 2.107 ms
Latência uRLLC (RTT local): 2.044 ms
Latência uRLLC (RTT local): 2.390 ms
Latência uRLLC (RTT local): 2.923 ms
Latência uRLLC (RTT local): 2.294 ms
Latência uRLLC (RTT local): 2.758 ms
Latência uRLLC (RTT local): 2.991 ms
Latência uRLLC (RTT local): 2.346 ms
Latência uRLLC (RTT local): 2.960 ms
Latência uRLLC (RTT local): 3.478 ms
Latência uRLLC (RTT local): 3.106 ms
Latência uRLLC (RTT local): 1.995 ms
Latência uRLLC (RTT local): 1.927 ms
Latência uRLLC (RTT local): 1.883 ms
Latência uRLLC (RTT local): 3.044 ms
Latência uRLLC (RTT local): 1.790 ms
Gerador uRLLC finalizado. 570 medições salvas em /app/resultados/execucoes/isolado/rep_01/latencias_urllc_rtt.csv
