Iniciando gerador uRLLC (Scapy/TCP) para 10.0.99.1:5000
Latência uRLLC (RTT local): 0.346 ms
Latência uRLLC (RTT local): 0.416 ms
Latência uRLLC (RTT local): 1.201 ms
Latência uRLLC (RTT local): 1.720 ms
Latência uRLLC (RTT local): 1.993 ms
Latência uRLLC (RTT local): 1.702 ms
Latência uRLLC (RTT local): 1.269 ms
Latência uRLLC (RTT local): 2.272 ms
Latência uRLLC (RTT local): 2.214 ms
Latência uRLLC (RTT local): 2.000 ms
Latência uRLLC (RTT local): 1.825 ms
Latência uRLLC (RTT local): 2.007 ms
Latência uRLLC (RTT local): 1.645 ms
Latência uRLLC (RTT local): 1.566 ms
Latência uRLLC (RTT local): 1.497 ms
Latência uRLLC (RTT local): 1.572 ms
Latência uRLLC (RTT local): 1.936 ms
Latência uRLLC (RTT local): 2.316 ms
Latência uRLLC (RTT local): 1.625 ms
Latência uRLLC (RTT local): 1.642 ms
Latência uRLLC (RTT local): 1.650 ms
Latência uRLLC (RTT local): 1.323 ms
Latência uRLLC (RTT local): 2.298 ms
Latência uRLLC (RTT local): 1.808 ms
Latência uRLLC (RTT local): 1.882 ms
Latência uRLLC (RTT local): 2.187 ms
Latência uRLLC (RTT local): 2.123 ms
Latência uRLLC (RTT local): 2.371 ms
Latência uRLLC (RTT local): 1.262 ms
Latência uRLLC (RTT local): 2.578 ms
Latência uRLLC (RTT local): 2.398 ms
Latência uRLLC (RTT local): 1.671 ms
Latência uRLLC (RTT local): 2.640 ms
Latência uRLLC (RTT local): 2.696 ms
Latência uRLLC (RTT local): 2.139 ms
Latência uRLLC (RTT local): 1.631 ms
Latência uRLLC (RTT local): 1.357 ms
Latência uRLLC (RTT local): 2.409 ms
Latência uRLLC (RTT local): 1.986 ms
Latência uRLLC (RTT local): 2.315 ms
Latência uRLLC (RTT local): 1.993 ms
Latência uRLLC (RTT local): 2.142 ms
Latência uRLLC (RTT local): 1.102 ms
Latência uRLLC (RTT local): 1.271 ms
Latência uRLLC (RTT local): 2.816 ms
Latência uRLLC (RTT local): 1.284 ms
Latência uRLLC (RTT local): 2.127 ms
Latência uRLLC (RTT local): 3.074 ms
Latência uRLLC (RTT local): 2.247 ms
Latência uRLLC (RTT local): 2.006 ms
Latência uRLLC (RTT local): 1.865 ms
Latência uRLLC (RTT local): 1.296 ms
Latência uRLLC (RTT local): 2.096 ms
Latência uRLLC (RTT local): 2.036 ms
Latência uRLLC (RTT local): 2.508 ms
Latência uRLLC (RTT local): 3.138 ms
Latência uRLLC (RTT local): 1.981 ms
Latência uRLLC (RTT local): 1.230 ms
Latência uRLLC (RTT local): 1.902 ms
Latência uRLLC (RTT local): 2.153 ms
Latência uRLLC (RTT local): 1.694 ms
Latência uRLLC (RTT local): 1.713 ms
Latência uRLLC (RTT local): 5.161 ms
Latência uRLLC (RTT local): 1.917 ms
Latência uRLLC (RTT local): 3.112 ms
Latência uRLLC (RTT local): 1.925 ms
Latência uRLLC (RTT local): 1.750 ms
Latência uRLLC (RTT local): 2.710 ms
Latência uRLLC (RTT local): 2.479 ms
Latência uRLLC (RTT local): 3.076 ms
Latência uRLLC (RTT local): 2.887 ms
Latência uRLLC (RTT local): 2.683 ms
Latência uRLLC (RTT local): 2.216 ms
Latência uRLLC (RTT local): 2.428 ms
Latência uRLLC (RTT local): 2.121 ms
Latência uRLLC (RTT local): 2.470 ms
Latência uRLLC (RTT local): 1.477 ms
Latência uRLLC (RTT local): 1.818 ms
Latência uRLLC (RTT local): 2.402 ms
Latência uRLLC (RTT local): 2.429 ms
Latência uRLLC (RTT local): 1.294 ms
Latência uRLLC (RTT local): 2.151 ms
Latência uRLLC (RTT local): 3.039 ms
Latência uRLLC (RTT local): 2.273 ms
Latência uRLLC (RTT local): 1.245 ms
Latência uRLLC (RTT local): 1.532 ms
Latência uRLLC (RTT local): 2.033 ms
Latência uRLLC (RTT local): 2.699 ms
Latência uRLLC (RTT local): 1.114 ms
Latência uRLLC (RTT local): 1.479 ms
Latência uRLLC (RTT local): 1.354 ms
Latência uRLLC (RTT local): 1.072 ms
Latência uRLLC (RTT local): 1.598 ms
Latência uRLLC (RTT local): 2.211 ms
Latência uRLLC (RTT local): 2.327 ms
Latência uRLLC (RTT local): 1.238 ms
Latência uRLLC (RTT local): 1.316 ms
Latência uRLLC (RTT local): 1.760 ms
Latência uRLLC (RTT local): 1.301 ms
Latência uRLLC (RTT local): 1.287 ms
Latência uRLLC (RTT local): 1.256 ms
Latência uRLLC (RTT local): 1.415 ms
Latência uRLLC (RTT local): 1.333 ms
Latência uRLLC (RTT local): 2.301 ms
Latência uRLLC (RTT local): 2.401 ms
Latência uRLLC (RTT local): 2.256 ms
Latência uRLLC (RTT local): 2.589 ms
Latência uRLLC (RTT local): 1.911 ms
Latência uRLLC (RTT local): 1.332 ms
Latência uRLLC (RTT local): 2.003 ms
Latência uRLLC (RTT local): 1.599 ms
Latência uRLLC (RTT local): 2.315 ms
