Iniciando monitor/controlador uRLLC em 10.0.99.1:5000 (Central de Monitoramento do campus)
Latência medida: 319.370 ms (de 10.0.31.1 - Reitoria, seq=0)
Latência medida: 320.632 ms (de 10.0.21.1 - Laboratorios, seq=0)
Sinal enviado: ativar
Latência medida: 0.606 ms (de 10.0.21.1 - Laboratorios, seq=0)
Latência medida: 0.786 ms (de 10.0.11.1 - Biblioteca, seq=0)
Latência medida: 0.751 ms (de 10.0.21.1 - Laboratorios, seq=1)
Sinal enviado: desativar
Latência medida: 0.797 ms (de 10.0.11.1 - Biblioteca, seq=1)
Latência medida: 0.787 ms (de 10.0.21.1 - Laboratorios, seq=2)
Latência medida: 0.782 ms (de 10.0.11.1 - Biblioteca, seq=2)
Latência medida: 0.555 ms (de 10.0.21.1 - Laboratorios, seq=3)
Latência medida: 0.803 ms (de 10.0.11.1 - Biblioteca, seq=3)
Latência medida: 0.790 ms (de 10.0.21.1 - Laboratorios, seq=4)
Latência medida: 0.735 ms (de 10.0.11.1 - Biblioteca, seq=4)
Latência medida: 1.134 ms (de 10.0.21.1 - Laboratorios, seq=5)
Latência medida: 1.261 ms (de 10.0.11.1 - Biblioteca, seq=5)
Latência medida: 0.807 ms (de 10.0.21.1 - Laboratorios, seq=6)
Latência medida: 1.003 ms (de 10.0.11.1 - Biblioteca, seq=6)
Latência medida: 0.639 ms (de 10.0.31.1 - Reitoria, seq=0)
Latência medida: 0.751 ms (de 10.0.21.1 - Laboratorios, seq=7)
Latência medida: 0.631 ms (de 10.0.11.1 - Biblioteca, seq=7)
Latência medida: 0.695 ms (de 10.0.31.1 - Reitoria, seq=1)
Latência medida: 1.241 ms (de 10.0.21.1 - Laboratorios, seq=8)
Latência medida: 0.923 ms (de 10.0.11.1 - Biblioteca, seq=8)
Latência medida: 0.827 ms (de 10.0.31.1 - Reitoria, seq=2)
Latência medida: 1.459 ms (de 10.0.11.1 - Biblioteca, seq=9)
Latência medida: 0.607 ms (de 10.0.21.1 - Laboratorios, seq=9)
Latência medida: 0.844 ms (de 10.0.31.1 - Reitoria, seq=3)
Latência medida: 1.499 ms (de 10.0.11.1 - Biblioteca, seq=10)
Latência medida: 0.905 ms (de 10.0.21.1 - Laboratorios, seq=10)
Latência medida: 1.070 ms (de 10.0.31.1 - Reitoria, seq=4)
Latência medida: 2.320 ms (de 10.0.11.1 - Biblioteca, seq=11)
Latência medida: 3.539 ms (de 10.0.21.1 - Laboratorios, seq=11)
Latência medida: 3.818 ms (de 10.0.31.1 - Reitoria, seq=5)
Latência medida: 0.807 ms (de 10.0.11.1 - Biblioteca, seq=12)
Latência medida: 0.499 ms (de 10.0.31.1 - Reitoria, seq=6)
Latência medida: 0.583 ms (de 10.0.21.1 - Laboratorios, seq=12)
Latência medida: 0.903 ms (de 10.0.31.1 - Reitoria, seq=7)
Latência medida: 0.763 ms (de 10.0.11.1 - Biblioteca, seq=13)
Latência medida: 0.540 ms (de 10.0.21.1 - Laboratorios, seq=13)
Latência medida: 1.096 ms (de 10.0.31.1 - Reitoria, seq=8)
Latência medida: 0.968 ms (de 10.0.11.1 - Biblioteca, seq=14)
Latência medida: 0.661 ms (de 10.0.21.1 - Laboratorios, seq=14)
Latência medida: 0.850 ms (de 10.0.21.1 - Laboratorios, seq=15)
Latência medida: 1.004 ms (de 10.0.31.1 - Reitoria, seq=9)
Latência medida: 1.412 ms (de 10.0.11.1 - Biblioteca, seq=15)
Latência medida: 1.281 ms (de 10.0.21.1 - Laboratorios, seq=16)
Latência medida: 1.122 ms (de 10.0.31.1 - Reitoria, seq=10)
Latência medida: 1.833 ms (de 10.0.11.1 - Biblioteca, seq=16)
Latência medida: 1.196 ms (de 10.0.11.1 - Biblioteca, seq=17)
Latência medida: 1.043 ms (de 10.0.21.1 - Laboratorios, seq=17)
Latência medida: 0.461 ms (de 10.0.31.1 - Reitoria, seq=11)
Latência medida: 1.063 ms (de 10.0.21.1 - Laboratorios, seq=18)
Latência medida: 1.010 ms (de 10.0.11.1 - Biblioteca, seq=18)
Latência medida: 0.769 ms (de 10.0.31.1 - Reitoria, seq=12)
