Iniciando gerador uRLLC (Scapy/TCP) para 10.0.99.1:5000
Erro de conexão: timed out, reconectando
Erro de conexão: timed out, reconectando
Erro de conexão: timed out, reconectando
Erro de conexão: timed out, reconectando
Erro de conexão: timed out, reconectando
Erro de conexão: timed out, reconectando
Erro de conexão: timed out, reconectando
Erro de conexão: timed out, reconectando
Erro de conexão: timed out, reconectando
Erro de conexão: timed out, reconectando
Erro de conexão: timed out, reconectando
Latência uRLLC (RTT local): 1.277 ms
Latência uRLLC (RTT local): 1.439 ms
Latência uRLLC (RTT local): 1.518 ms
Latência uRLLC (RTT local): 1.010 ms
Latência uRLLC (RTT local): 1.480 ms
Latência uRLLC (RTT local): 1.903 ms
Latência uRLLC (RTT local): 1.328 ms
Latência uRLLC (RTT local): 1.510 ms
Latência uRLLC (RTT local): 2.401 ms
Latência uRLLC (RTT local): 1.399 ms
Latência uRLLC (RTT local): 1.626 ms
Latência uRLLC (RTT local): 8.516 ms
Latência uRLLC (RTT local): 1.091 ms
Latência uRLLC (RTT local): 1.060 ms
Latência uRLLC (RTT local): 1.295 ms
Latência uRLLC (RTT local): 1.787 ms
Latência uRLLC (RTT local): 2.235 ms
Latência uRLLC (RTT local): 1.596 ms
Latência uRLLC (RTT local): 1.961 ms
Latência uRLLC (RTT local): 1.070 ms
Latência uRLLC (RTT local): 0.891 ms
Latência uRLLC (RTT local): 1.364 ms
Latência uRLLC (RTT local): 0.851 ms
Latência uRLLC (RTT local): 1.063 ms
Latência uRLLC (RTT local): 1.594 ms
Latência uRLLC (RTT local): 1.102 ms
Latência uRLLC (RTT local): 1.499 ms
Gerador uRLLC finalizado. 27 medições salvas em /app/resultados/execucoes/qos_estatico/rep_01/latencias_urllc_rtt.csv
