Iniciando gerador uRLLC (Scapy/TCP) para 10.0.99.1:5000
Erro de conexão: timed out, reconectando
Erro de conexão: timed out, reconectando
Erro de conexão: timed out, reconectando
Erro de conexão: timed out, reconectando
Erro de conexão: timed out, reconectando
Erro de conexão: timed out, reconectando
Erro de conexão: timed out, reconectando
Erro de conexão: timed out, reconectando
Erro de conexão: timed out, reconectando
Erro de conexão: timed out, reconectando
Erro de conexão: timed out, reconectando
Latência uRLLC (RTT local): 2.620 ms
Latência uRLLC (RTT local): 0.492 ms
Latência uRLLC (RTT local): 0.668 ms
Latência uRLLC (RTT local): 0.675 ms
Latência uRLLC (RTT local): 0.807 ms
Latência uRLLC (RTT local): 2.056 ms
Latência uRLLC (RTT local): 2.020 ms
Latência uRLLC (RTT local): 1.615 ms
Latência uRLLC (RTT local): 1.990 ms
Latência uRLLC (RTT local): 1.778 ms
Latência uRLLC (RTT local): 1.793 ms
Latência uRLLC (RTT local): 1.499 ms
Latência uRLLC (RTT local): 2.155 ms
Latência uRLLC (RTT local): 3.939 ms
Latência uRLLC (RTT local): 2.394 ms
Latência uRLLC (RTT local): 2.189 ms
Latência uRLLC (RTT local): 0.755 ms
Latência uRLLC (RTT local): 0.761 ms
Latência uRLLC (RTT local): 1.779 ms
Latência uRLLC (RTT local): 1.328 ms
Latência uRLLC (RTT local): 1.121 ms
Latência uRLLC (RTT local): 2.659 ms
Latência uRLLC (RTT local): 2.334 ms
Latência uRLLC (RTT local): 2.527 ms
Gerador uRLLC finalizado. 24 medições salvas em /app/resultados/execucoes/reativo/rep_01/latencias_urllc_rtt.csv
