timestamp_recebimento,ip_origem,site,sequencia,latencia_ms
1783766761.824916,10.0.21.1,Laboratorios,0,586.459
1783766761.825957,10.0.11.1,Biblioteca,0,587.307
1783766815.624035,10.0.31.1,Reitoria,0,2.333
1783766815.624626,10.0.21.1,Laboratorios,0,2.805
1783766815.729075,10.0.21.1,Laboratorios,1,0.344
1783766815.729925,10.0.31.1,Reitoria,1,0.233
1783766815.831334,10.0.31.1,Reitoria,2,0.293
1783766815.831608,10.0.21.1,Laboratorios,2,0.446
1783766815.935639,10.0.31.1,Reitoria,3,0.363
1783766815.935785,10.0.21.1,Laboratorios,3,0.506
1783766816.031919,10.0.11.1,Biblioteca,1,0.444
1783766816.037224,10.0.31.1,Reitoria,4,0.312
1783766816.037412,10.0.21.1,Laboratorios,4,0.502
1783766816.139604,10.0.11.1,Biblioteca,2,1.712
1783766816.140448,10.0.31.1,Reitoria,5,1.131
1783766816.142484,10.0.21.1,Laboratorios,5,0.806
1783766816.246991,10.0.11.1,Biblioteca,3,2.102
1783766816.247892,10.0.31.1,Reitoria,6,1.126
1783766816.249445,10.0.21.1,Laboratorios,6,0.887
1783766816.354696,10.0.21.1,Laboratorios,7,1.463
1783766816.355098,10.0.11.1,Biblioteca,4,1.865
1783766816.355361,10.0.31.1,Reitoria,7,0.983
1783766816.458054,10.0.31.1,Reitoria,8,1.194
1783766816.458368,10.0.21.1,Laboratorios,8,1.519
1783766816.461562,10.0.11.1,Biblioteca,5,0.736
1783766816.563892,10.0.21.1,Laboratorios,9,1.577
1783766816.564416,10.0.31.1,Reitoria,9,1.066
1783766816.567196,10.0.11.1,Biblioteca,6,1.209
1783766816.670459,10.0.21.1,Laboratorios,10,1.343
1783766816.670994,10.0.31.1,Reitoria,10,0.891
1783766816.673146,10.0.11.1,Biblioteca,7,0.938
1783766816.774967,10.0.21.1,Laboratorios,11,1.337
1783766816.778548,10.0.31.1,Reitoria,11,0.818
1783766816.780184,10.0.11.1,Biblioteca,8,0.849
1783766816.884264,10.0.21.1,Laboratorios,12,2.372
1783766816.883932,10.0.31.1,Reitoria,12,1.335
1783766816.886861,10.0.11.1,Biblioteca,9,0.896
1783766816.989544,10.0.21.1,Laboratorios,13,1.448
1783766816.990658,10.0.31.1,Reitoria,13,2.561
1783766816.993197,10.0.11.1,Biblioteca,10,0.991
1783766817.096330,10.0.21.1,Laboratorios,14,1.539
1783766817.096949,10.0.31.1,Reitoria,14,1.484
1783766817.100651,10.0.11.1,Biblioteca,11,0.919
1783766817.205285,10.0.21.1,Laboratorios,15,1.714
1783766817.204877,10.0.31.1,Reitoria,15,1.306
1783766817.206567,10.0.11.1,Biblioteca,12,0.779
1783766817.311820,10.0.31.1,Reitoria,16,0.451
1783766817.311960,10.0.21.1,Laboratorios,16,0.264
1783766817.312061,10.0.11.1,Biblioteca,13,0.362
1783766817.413635,10.0.11.1,Biblioteca,14,0.731
1783766817.414348,10.0.21.1,Laboratorios,17,0.493
1783766817.418078,10.0.31.1,Reitoria,17,0.376
1783766817.518224,10.0.21.1,Laboratorios,18,1.310
1783766817.521047,10.0.11.1,Biblioteca,15,1.252
1783766817.524797,10.0.31.1,Reitoria,18,1.022
1783766817.624604,10.0.11.1,Biblioteca,16,1.641
1783766817.625964,10.0.21.1,Laboratorios,19,0.784
1783766817.628708,10.0.31.1,Reitoria,19,0.752
1783766817.731345,10.0.21.1,Laboratorios,20,2.081
1783766817.732423,10.0.11.1,Biblioteca,17,0.904
1783766817.733783,10.0.31.1,Reitoria,20,0.438
1783766817.837193,10.0.31.1,Reitoria,21,1.647
1783766817.837568,10.0.11.1,Biblioteca,18,1.862
1783766817.839428,10.0.21.1,Laboratorios,21,0.817
1783766817.943890,10.0.21.1,Laboratorios,22,2.116
1783766817.944626,10.0.31.1,Reitoria,22,1.683
1783766817.944993,10.0.11.1,Biblioteca,19,2.036
1783766818.047651,10.0.31.1,Reitoria,23,1.474
1783766818.050778,10.0.21.1,Laboratorios,23,0.719
1783766818.051549,10.0.11.1,Biblioteca,20,0.834
